t,u,theta,phi
0,0,0,0
0.01,0,-1.610264e-05,0.002090931
0.02,0,-5.912309e-05,-0.002771616
0.03,0,-0.0001661474,-0.002771616
0.04,0,-0.0001673856,0.002090931
0.05,0,-7.938834e-05,-0.002771616
0.06,0,-8.285552e-05,0.002090931
0.07,0,-6.002399e-05,0.002090931
0.08,0,-5.113552e-05,0.002090931
0.09,0,-8.864485e-05,-0.002771616
0.1,0,-0.0001590927,0.002090931
0.11,0,-3.537788e-05,-0.002771616
0.12,0,-3.314153e-05,-0.002771616
0.13,0,-1.06848e-06,-0.002771616
0.14,0,2.265686e-05,-0.002771616
0.15,0,2.831814e-05,-0.002771616
0.16,0,6.083433e-05,-0.002771616
0.17,0,9.156718e-05,0.002090931
0.18,0,8.148055e-05,0.002090931
0.19,0,0.0001415511,-0.002771616
0.2,0,0.0001757818,0.002090931
0.21,0,0.0001993599,0.002090931
0.22,0,0.0002222195,0.002090931
0.23,0,0.0001324673,-0.002771616
0.24,0,9.426662e-05,0.002090931
0.25,0,6.197512e-05,0.002090931
0.26,0,-2.2986e-05,0.002090931
0.27,0,-0.00011685,0.002090931
0.28,0,-0.0001669225,-0.002771616
0.29,0,-0.0001877122,-0.002771616
0.3,0,-0.0001731654,0.002090931
0.31,0,-0.0001723459,-0.002771616
0.32,0,-7.334421e-05,-0.002771616
0.33,0,-0.0001672647,0.002090931
0.34,0,-0.0002117828,0.002090931
0.35,0,-0.0002212357,0.002090931
0.36,0,-0.0001540607,-0.007633686
0.37,0,-0.0001405252,-0.002771616
0.38,0,-0.000134813,-0.002771616
0.39,0,-0.0001564848,-0.002771616
0.4,0,-0.0002151222,0.002090931
0.41,0,-0.0002396028,0.002090931
0.42,0,-0.0002316285,-0.002771616
0.43,0,-0.000317949,-0.002771616
0.44,0,-0.0002439603,-0.002771616
0.45,0,-0.0002822655,-0.002771616
0.46,0,-0.0003497755,0.002090931
0.47,0,-0.0004069794,-0.007633686
0.48,0,-0.0004017148,-0.002771616
0.49,0,-0.00028342,-0.002771616
0.5,0,-0.000281499,0.002090931
0.51,0,-0.0001986284,0.002090931
0.52,0,-0.0001889082,-0.002771616
0.53,0,-0.0001839249,0.002090931
0.54,0,-0.000115379,-0.002771616
0.55,0,-0.0001207143,-0.002771616
0.56,0,-3.983434e-05,-0.002771616
0.57,0,-4.818898e-05,0.002090931
0.58,0,2.29147e-05,0.002090931
0.59,0,-5.905886e-05,0.002090931
0.6,0,-8.63533e-05,-0.002771616
0.61,0,-0.0002082176,0.002090931
0.62,0,-0.0002628402,0.002090931
0.63,0,-0.0002733021,-0.002771616
0.64,0,-0.0003480111,0.002090931
0.65,0,-0.0002999638,-0.002771616
0.66,0,-0.0003908797,0.002090931
0.67,0,-0.0003931274,-0.002771616
0.68,0,-0.0003137267,0.002090931
0.69,0,-0.0003009315,-0.002771616
0.7,0,-0.0002685327,-0.002771616
0.71,0,-0.0002445375,-0.002771616
0.72,0,-0.0002386188,-0.002771616
