t,u,theta,phi
0.98,0.0002002424,0.000250303,-4.529953e-06
0.99,0.0001403007,0.0001753759,-4.529953e-06
1,4.669287e-05,5.836609e-05,-4.529953e-06
1.01,5.042745e-05,6.303431e-05,-4.529953e-06
1.02,4.758123e-05,5.947654e-05,-4.529953e-06
1.03,3.090648e-05,3.86331e-05,-4.529953e-06
1.04,5.673455e-05,7.091819e-05,-4.529953e-06
1.05,7.973207e-05,9.966509e-05,-4.529953e-06
1.06,7.196277e-06,8.995346e-06,-4.529953e-06
1.07,1.049921e-08,1.312401e-08,-4.529953e-06
1.08,3.805824e-05,4.757279e-05,-4.529953e-06
1.09,-1.703223e-05,-2.129029e-05,-4.529953e-06
1.1,-5.466288e-05,-6.832861e-05,-4.529953e-06
1.11,-1.022652e-05,-1.278315e-05,-4.529953e-06
1.12,-3.050275e-05,-3.812844e-05,-4.529953e-06
1.13,-6.032612e-05,-7.540765e-05,-4.529953e-06
1.14,-2.007811e-05,-2.509763e-05,-4.529953e-06
1.15,1.492464e-05,1.86558e-05,-4.529953e-06
1.16,-5.279209e-07,-6.599012e-07,-4.529953e-06
1.17,3.246448e-05,4.05806e-05,-4.529953e-06
1.18,5.227889e-05,6.534861e-05,-4.529953e-06
1.19,9.4795e-05,0.0001184938,-4.529953e-06
1.2,6.188073e-05,7.735091e-05,-4.529953e-06
1.21,9.300088e-05,0.0001162511,-4.529953e-06
1.22,0.0001115869,0.0001394836,-4.529953e-06
1.23,0.0001334686,0.0001668357,-4.529953e-06
1.24,0.0001773971,0.0002217463,-4.529953e-06
1.25,0.0001807687,0.0002259609,-4.529953e-06
1.26,0.0001760669,0.0002200836,-4.529953e-06
1.27,0.0002052388,0.0002565485,-4.529953e-06
1.28,0.0001820669,0.0002275836,-4.529953e-06
1.29,0.0001181611,0.0001477014,-4.529953e-06
1.3,6.211116e-05,7.763895e-05,-4.529953e-06
1.31,4.399312e-06,5.49914e-06,-4.529953e-06
1.32,3.495549e-06,4.369437e-06,-4.529953e-06
1.33,2.630584e-05,3.288229e-05,-4.529953e-06
1.34,4.330689e-06,5.413361e-06,-4.529953e-06
1.35,2.503451e-05,3.129313e-05,-4.529953e-06
1.36,3.300169e-05,4.125211e-05,-4.529953e-06
1.37,5.882718e-05,7.353397e-05,-4.529953e-06
1.38,-2.540271e-05,-3.175338e-05,-4.529953e-06
1.39,-2.57065e-05,-3.213313e-05,-4.529953e-06
1.4,-6.679825e-05,-8.349781e-05,-4.529953e-06
1.41,-8.709636e-06,-1.088704e-05,-4.529953e-06
1.42,2.245445e-05,2.806806e-05,-4.529953e-06
1.43,9.660501e-05,0.0001207563,-4.529953e-06
1.44,0.0001524311,0.0001905389,-4.529953e-06
1.45,5.829409e-05,7.286761e-05,-4.529953e-06
1.46,5.754614e-05,7.193267e-05,-4.529953e-06
1.47,0.0001075161,0.0001343952,-4.529953e-06
1.48,8.902913e-05,0.0001112864,-4.529953e-06
1.49,0.000108966,0.0001362075,-4.529953e-06
1.5,0.0001129003,0.0001411254,-4.529953e-06
1.51,0.0001128615,0.0001410769,-4.529953e-06
1.52,0.0001465216,0.000183152,-4.529953e-06
1.53,0.0001076325,0.0001345406,-4.529953e-06
1.54,0.0001188792,0.000148599,-4.529953e-06
1.55,5.329738e-06,6.662172e-06,-4.529953e-06
1.56,-9.816547e-05,-0.0001227068,-4.529953e-06
1.57,-5.636287e-05,-7.045359e-05,-4.529953e-06
1.58,-3.210023e-05,-4.012528e-05,-4.529953e-06
1.59,-3.633623e-05,-4.542029e-05,-4.529953e-06
1.6,-5.612384e-05,-7.01548e-05,-4.529953e-06
1.61,-0.0001202953,-0.0001503691,-4.529953e-06
1.62,-0.0001469674,-0.0001837092,-4.529953e-06
1.63,-0.0001072367,-0.0001340459,-4.529953e-06
1.64,-0.0001066014,-0.0001332517,-4.529953e-06
1.65,-9.026902e-05,-0.0001128363,-4.529953e-06
1.66,-0.0001338628,-0.0001673285,-4.529953e-06
1.67,-0.0001128886,-0.0001411108,-4.529953e-06
1.68,-0.0001620416,-0.0002025519,-4.529953e-06
1.69,-0.0002078181,-0.0002597726,-4.529953e-06
1.7,-0.0001970287,-0.0002462858,0.004857779
1.71,-0.0002022451,-0.0002528064,-4.529953e-06
1.72,-0.0002128948,-0.0002661185,-4.529953e-06
1.73,-0.0001680165,-0.0002100206,-4.529953e-06
1.74,-0.0001676145,-0.0002095181,-4.529953e-06
1.75,-0.0002009275,-0.0002511594,-4.529953e-06
1.76,-0.0002308169,-0.0002885211,-4.529953e-06
1.77,-0.0002187559,-0.0002734448,-4.529953e-06
1.78,-0.0002905038,-0.0003631297,-4.529953e-06
1.79,-0.0003619026,-0.0004523782,-4.529953e-06
1.8,-0.0003601038,-0.0004501297,-4.529953e-06
1.81,-0.0003465618,-0.0004332022,-4.529953e-06
1.82,-0.0003375357,-0.0004219197,-4.529953e-06
1.83,-0.0003326107,-0.0004157634,-4.529953e-06
1.84,-0.0002777682,-0.0003472102,-4.529953e-06
1.85,-0.000244175,-0.0003052187,-4.529953e-06
1.86,-0.0001941873,-0.0002427341,-4.529953e-06
1.87,-0.0001949885,-0.0002437357,-4.529953e-06
1.88,-0.0001919875,-0.0002399843,-4.529953e-06
1.89,-0.0001756689,-0.0002195861,-4.529953e-06
1.9,-0.0001406587,-0.0001758233,-4.529953e-06
1.91,-0.0002167825,-0.0002709781,-4.529953e-06
1.92,-0.000179752,-0.00022469,-4.529953e-06
1.93,-9.019423e-05,-0.0001127428,-4.529953e-06
1.94,-0.0001122978,-0.0001403723,-4.529953e-06
1.95,-0.000103791,-0.0001297388,-4.529953e-06
1.96,-4.028279e-05,-5.035348e-05,-4.529953e-06
1.97,-8.523875e-05,-0.0001065484,-4.529953e-06
1.98,-0.0001482574,-0.0001853218,-4.529953e-06
1.99,-0.0002024616,-0.000253077,-4.529953e-06
2,-0.0002528546,-0.0003160683,-4.529953e-06
2.01,-0.000218728,-0.00027341,-4.529953e-06
2.02,-0.0002721033,-0.0003401291,-4.529953e-06
2.03,-0.0002549658,-0.0003187072,-4.529953e-06
2.04,-0.0002365586,-0.0002956983,-4.529953e-06
2.05,-0.000273718,-0.0003421475,-4.529953e-06
2.06,-0.0002503191,-0.0003128988,-4.529953e-06
2.07,-0.000265277,-0.0003315962,-4.529953e-06
2.08,-0.0002663873,-0.0003329841,-4.529953e-06
2.09,-0.000204249,-0.0002553113,-4.529953e-06
2.1,-0.0002172702,-0.0002715877,-4.529953e-06
2.11,-0.0002177284,-0.0002721605,-4.529953e-06
2.12,-0.0001749165,-0.0002186456,-4.529953e-06
2.13,-0.0001887597,-0.0002359496,-4.529953e-06
2.14,-0.0001446587,-0.0001808234,-4.529953e-06
2.15,-0.0001233204,-0.0001541505,-4.529953e-06
2.16,-0.00012661,-0.0001582625,-4.529953e-06
2.17,-0.0001592703,-0.0001990879,-4.529953e-06
2.18,-0.0001614711,-0.0002018388,0.004857779
2.19,-0.0001458903,-0.0001823629,-4.529953e-06
2.2,-0.0001662208,-0.000207776,-4.529953e-06
2.21,-0.0001581639,-0.0001977048,-4.529953e-06
2.22,-0.0001586205,-0.0001982756,-4.529953e-06
2.23,-0.0001510647,-0.0001888309,-4.529953e-06
2.24,-0.0001597033,-0.0001996292,-4.529953e-06
2.25,-0.0002227974,-0.0002784967,-4.529953e-06
2.26,-0.0002310879,-0.0002888599,-4.529953e-06
2.27,-0.0002326729,-0.0002908411,-4.529953e-06
2.28,-0.0002091165,-0.0002613956,-4.529953e-06
2.29,-0.0001443724,-0.0001804655,-4.529953e-06
2.3,-0.0001178297,-0.0001472871,-4.529953e-06
2.31,-0.0001483607,-0.0001854509,-4.529953e-06
2.32,-0.000115376,-0.0001442201,-4.529953e-06
2.33,-0.0001425603,-0.0001782004,-4.529953e-06
2.34,-4.183469e-05,-5.229336e-05,0.004857779
2.35,-6.528686e-05,-8.160857e-05,-4.529953e-06
2.36,-5.819289e-05,-7.274112e-05,-4.529953e-06
2.37,-2.379272e-05,-2.97409e-05,-4.529953e-06
2.38,-4.979751e-05,-6.224688e-05,-4.529953e-06
2.39,-4.402094e-05,-5.502617e-05,-4.529953e-06
2.4,-0.0001087765,-0.0001359706,-4.529953e-06
2.41,-0.0001000715,-0.0001250893,-4.529953e-06
2.42,-5.580972e-05,-6.976214e-05,0.004857779
2.43,-5.106513e-05,-6.383141e-05,-4.529953e-06
2.44,-6.424555e-05,-8.030693e-05,-4.529953e-06
2.45,-5.986174e-05,-7.482717e-05,-4.529953e-06
2.46,-4.34354e-05,-5.429424e-05,-4.529953e-06
2.47,5.800225e-06,7.250281e-06,-4.529953e-06
2.48,7.954855e-05,9.943569e-05,-4.529953e-06
2.49,7.402864e-05,9.25358e-05,-4.529953e-06
2.5,9.469109e-05,0.0001183639,-4.529953e-06
2.51,0.0001129319,0.0001411649,-4.529953e-06
2.52,0.0001067095,0.0001333869,-4.529953e-06
2.53,5.961634e-05,7.452043e-05,-4.529953e-06
2.54,7.065687e-05,8.832108e-05,-4.529953e-06
2.55,0.0001446615,0.0001808269,-4.529953e-06
2.56,0.0001924428,0.0002405535,-4.529953e-06
2.57,0.0001678847,0.0002098559,-4.529953e-06
2.58,9.860384e-05,0.0001232548,-4.529953e-06
2.59,8.660294e-05,0.0001082537,-4.529953e-06
2.6,6.52243e-05,8.153036e-05,-4.529953e-06
2.61,0.0001005753,0.0001257191,-4.529953e-06
2.62,0.0001422349,0.0001777937,-4.529953e-06
2.63,0.0001513769,0.0001892211,-4.529953e-06
2.64,0.0001617601,0.0002022002,-4.529953e-06
2.65,0.0001617788,0.0002022235,-4.529953e-06
2.66,0.0001555709,0.0001944636,-4.529953e-06
2.67,0.0001235585,0.0001544481,-4.529953e-06
2.68,3.573387e-05,4.466734e-05,-4.529953e-06
2.69,3.745737e-06,4.682171e-06,-4.529953e-06
2.7,-2.665611e-05,-3.332014e-05,-4.529953e-06
2.71,-4.667545e-05,-5.834432e-05,-4.529953e-06
2.72,-0.0001385884,-0.0001732355,-4.529953e-06
2.73,-0.0001843015,-0.0002303769,-4.529953e-06
2.74,-0.0002292904,-0.000286613,-4.529953e-06
2.75,-0.0002095796,-0.0002619745,-4.529953e-06
2.76,-0.000220307,-0.0002753837,-4.529953e-06
2.77,-0.0002977594,-0.0003721993,-4.529953e-06
2.78,-0.0003138567,-0.0003923208,-4.529953e-06
2.79,-0.0003057842,-0.0003822302,-4.529953e-06
2.8,-0.0003331547,-0.0004164434,-4.529953e-06
2.81,-0.000371343,-0.0004641787,-4.529953e-06
2.82,-0.0003843832,-0.000480479,-4.529953e-06
2.83,-0.0004185287,-0.0005231609,-4.529953e-06
2.84,-0.0003795665,-0.0004744581,-4.529953e-06
2.85,-0.0003281361,-0.0004101701,-4.529953e-06
2.86,-0.0002786304,-0.000348288,-4.529953e-06
2.87,-0.0003153132,-0.0003941415,-4.529953e-06
2.88,-0.0002259197,-0.0002823997,-4.529953e-06
2.89,-0.0002166488,-0.000270811,-4.529953e-06
2.9,-0.000158248,-0.00019781,-4.529953e-06
2.91,-0.0001942231,-0.0002427788,-4.529953e-06
2.92,-0.0001395845,-0.0001744807,-4.529953e-06
2.93,-4.148432e-05,-5.185539e-05,-4.529953e-06
2.94,2.378899e-05,2.973623e-05,-4.529953e-06
2.95,3.771036e-05,4.713795e-05,-4.529953e-06
2.96,4.141472e-05,5.176839e-05,-4.529953e-06
2.97,6.059869e-05,7.574836e-05,-4.529953e-06
2.98,5.950528e-05,7.43816e-05,-4.529953e-06
2.99,5.251825e-05,6.564781e-05,0.004857779
3,5.194223e-05,6.492779e-05,-4.529953e-06
3.01,6.504968e-06,8.13121e-06,-4.529953e-06
3.02,5.280407e-05,6.600509e-05,-4.529953e-06
3.03,1.291176e-05,1.61397e-05,-4.529953e-06
3.04,5.101585e-05,6.376981e-05,-4.529953e-06
3.05,9.107749e-05,0.0001138469,-4.529953e-06
3.06,4.321825e-05,5.402281e-05,-4.529953e-06
3.07,4.262998e-05,5.328747e-05,-4.529953e-06
3.08,6.596069e-05,8.245086e-05,-4.529953e-06
3.09,7.504354e-05,9.380442e-05,-4.529953e-06
3.1,9.366245e-05,0.0001170781,-4.529953e-06
3.11,6.808805e-05,8.511007e-05,-4.529953e-06
3.12,7.270517e-05,9.088147e-05,-4.529953e-06
3.13,7.743068e-05,9.678835e-05,-4.529953e-06
3.14,6.63777e-05,8.297212e-05,-4.529953e-06
3.15,8.103468e-05,0.0001012933,-4.529953e-06
3.16,7.907877e-05,9.884847e-05,-4.529953e-06
3.17,2.311671e-06,2.889588e-06,-4.529953e-06
3.18,-6.509655e-06,-8.137069e-06,-4.529953e-06
3.19,3.210616e-05,4.013271e-05,-4.529953e-06
3.2,3.834693e-05,4.793366e-05,-4.529953e-06
3.21,1.076461e-05,1.345577e-05,-4.529953e-06
3.22,-7.076514e-05,-8.845642e-05,-4.529953e-06
3.23,-0.0001185418,-0.0001481773,-4.529953e-06
3.24,-0.0001142805,-0.0001428507,-4.529953e-06
3.25,-0.0001358485,-0.0001698106,-4.529953e-06
3.26,-0.0001767581,-0.0002209477,-4.529953e-06
3.27,-0.0001574406,-0.0001968007,-4.529953e-06
3.28,-0.0001222285,-0.0001527856,0.004857779
3.29,-0.000190444,-0.0002380551,-4.529953e-06
3.3,-0.0002526647,-0.0003158309,-4.529953e-06
3.31,-0.0001731841,-0.0002164801,-4.529953e-06
3.32,-0.0001959612,-0.0002449515,-4.529953e-06
3.33,-0.0002067617,-0.0002584522,-4.529953e-06
3.34,-0.0001980377,-0.0002475472,-4.529953e-06
3.35,-0.0002392557,-0.0002990696,-4.529953e-06
3.36,-0.0003139779,-0.0003924723,-4.529953e-06
3.37,-0.0003239581,-0.0004049477,-4.529953e-06
3.38,-0.0003176585,-0.0003970731,-4.529953e-06
3.39,-0.0003050602,-0.0003813252,-4.529953e-06
3.4,-0.0002552691,-0.0003190863,-4.529953e-06
3.41,-0.000258522,-0.0003231525,-4.529953e-06
3.42,-0.0002275241,-0.0002844052,-4.529953e-06
3.43,-0.0002315456,-0.000289432,-4.529953e-06
3.44,-0.0002040833,-0.0002551041,-4.529953e-06
3.45,-0.0002861204,-0.0003576505,-4.529953e-06
3.46,-0.0002886564,-0.0003608205,-4.529953e-06
3.47,-0.0002361864,-0.000295233,-4.529953e-06
3.48,-0.0002680531,-0.0003350663,-4.529953e-06
3.49,-0.0002607988,-0.0003259984,-4.529953e-06
3.5,-0.000243976,-0.00030497,-4.529953e-06
3.51,-0.0002815664,-0.0003519579,-4.529953e-06
3.52,-0.0002759602,-0.0003449502,-4.529953e-06
3.53,-0.0002566263,-0.0003207828,-4.529953e-06
3.54,-0.0002499959,-0.0003124948,-4.529953e-06
3.55,-0.0002027416,-0.000253427,-4.529953e-06
3.56,-0.000188223,-0.0002352787,-4.529953e-06
3.57,-0.0001721493,-0.0002151867,-4.529953e-06
3.58,-0.000119219,-0.0001490237,-4.529953e-06
3.59,-0.0001863351,-0.0002329189,-4.529953e-06
3.6,-0.0001441966,-0.0001802458,-4.529953e-06
3.61,-0.0001344522,-0.0001680652,-4.529953e-06
3.62,-0.0001427646,-0.0001784558,-4.529953e-06
3.63,-0.0001330644,-0.0001663305,-4.529953e-06
