t,u,theta,theta_rad,phi
7.23,35,3.919057,3.919057,36
7.24,35,3.787708,3.787708,36
7.25,35,3.632452,3.632452,36
7.26,35,3.458704,3.458704,36
7.27,35,3.263095,3.263095,36
7.28,35,3.048272,3.048272,36
7.29,35,2.821124,2.821124,36
7.3,35,2.576471,2.576471,36
7.31,35,2.320436,2.320436,36
7.32,35,2.05628,2.05628,36
7.33,35,1.78294,1.78294,36
7.34,35,1.496927,1.496927,36
7.35,35,1.208774,1.208774,36
7.36,35,0.9196698,0.9196698,36
7.37,35,0.6243078,0.6243078,36
7.38,35,0.3314324,0.3314324,36
7.39,35,0.03772041,0.03772041,36
7.4,35,-0.2504977,-0.2504977,36
7.41,35,-0.5313584,-0.5313584,36
7.42,35,-0.8110978,-0.8110978,36
7.43,35,-1.082425,-1.082425,36
7.44,35,-1.341446,-1.341446,36
7.45,35,-1.587719,-1.587719,36
7.46,35,-1.817323,-1.817323,36
7.47,35,-2.02916,-2.02916,36
7.48,35,-2.230663,-2.230663,36
7.49,35,-2.418154,-2.418154,36
7.5,35,-2.583431,-2.583431,36
7.51,35,-2.725111,-2.725111,36
7.52,35,-2.844028,-2.844028,36
7.53,35,-2.943926,-2.943926,36
7.54,35,-3.028017,-3.028017,36
7.55,35,-3.087605,-3.087605,36
7.56,35,-3.122488,-3.122488,36
7.57,35,-3.138659,-3.138659,36
7.58,35,-3.131855,-3.131855,36
7.59,35,-3.099395,-3.099395,36
7.6,35,-3.053118,-3.053118,36
7.61,35,-2.98618,-2.98618,36
7.62,35,-2.895417,-2.895417,36
7.63,35,-2.788876,-2.788876,36
7.64,35,-2.665923,-2.665923,36
7.65,35,-2.52734,-2.52734,36
7.66,35,-2.370832,-2.370832,36
7.67,35,-2.197989,-2.197989,36
7.68,35,-2.012832,-2.012832,36
7.69,35,-1.812155,-1.812155,36
7.7,35,-1.601543,-1.601543,36
7.71,35,-1.386619,-1.386619,36
7.72,35,-1.161517,-1.161517,36
7.73,35,-0.9256762,-0.9256762,36
7.74,35,-0.6860141,-0.6860141,36
7.75,35,-0.4455707,-0.4455707,36
7.76,35,-0.1995253,-0.1995253,36
7.77,35,0.04525796,0.04525796,36
7.78,35,0.2894246,0.2894246,36
7.79,35,0.5246617,0.5246617,36
7.8,35,0.763244,0.763244,36
7.81,35,0.9978092,0.9978092,36
7.82,35,1.224798,1.224798,36
7.83,35,1.445149,1.445149,36
7.84,35,1.656609,1.656609,36
7.85,35,1.855247,1.855247,36
7.86,35,2.040645,2.040645,36
7.87,35,2.212856,2.212856,36
7.88,35,2.365478,2.365478,36
7.89,35,2.505527,2.505527,36
7.9,35,2.629795,2.629795,36
7.91,35,2.734856,2.734856,36
7.92,35,2.8227,2.8227,36
7.93,35,2.897875,2.897875,36
7.94,35,2.949715,2.949715,36
7.95,35,2.9858,2.9858,36
7.96,35,3.001391,3.001391,36
7.97,35,2.995928,2.995928,36
7.98,35,2.973653,2.973653,36
7.99,35,2.939024,2.939024,36
8,35,2.885859,2.885859,36
8.01,35,2.818687,2.818687,36
8.02,35,2.735713,2.735713,36
8.03,35,2.629685,2.629685,36
8.04,35,2.51366,2.51366,36
8.05,35,2.384962,2.384962,36
8.06,35,2.245665,2.245665,36
8.07,35,2.09252,2.09252,36
8.08,35,1.931275,1.931275,36
8.09,35,1.761545,1.761545,36
8.1,35,1.580377,1.580377,36
8.11,35,1.394364,1.394364,36
8.12,35,1.203148,1.203148,36
8.13,35,1.010503,1.010503,36
8.14,35,0.8168249,0.8168249,36
8.15,35,0.6227358,0.6227358,36
8.16,35,0.4215039,0.4215039,36
8.17,35,0.2194741,0.2194741,36
8.18,35,0.02172785,0.02172785,36
8.19,35,-0.1734632,-0.1734632,36
8.2,35,-0.362813,-0.362813,36
8.21,35,-0.5474071,-0.5474071,36
8.22,35,-0.7279447,-0.7279447,36
8.23,35,-0.895947,-0.895947,36
8.24,35,-1.059662,-1.059662,36
8.25,35,-1.210387,-1.210387,36
8.26,35,-1.352954,-1.352954,36
8.27,35,-1.480375,-1.480375,36
8.28,35,-1.593566,-1.593566,36
8.29,35,-1.695147,-1.695147,36
8.3,35,-1.779262,-1.779262,36
8.31,35,-1.851153,-1.851153,36
8.32,35,-1.909013,-1.909013,36
8.33,35,-1.952645,-1.952645,36
8.34,35,-1.982804,-1.982804,36
8.35,35,-1.99813,-1.99813,36
8.36,35,-1.994956,-1.994956,36
8.37,35,-1.979751,-1.979751,36
8.38,35,-1.945381,-1.945381,36
8.39,35,-1.904331,-1.904331,36
8.4,35,-1.846746,-1.846746,36
8.41,35,-1.779792,-1.779792,36
8.42,35,-1.698429,-1.698429,36
8.43,35,-1.607341,-1.607341,36
8.44,35,-1.5052,-1.5052,36
8.45,35,-1.395851,-1.395851,36
8.46,35,-1.273738,-1.273738,36
8.47,35,-1.146262,-1.146262,36
8.48,35,-1.009123,-1.009123,36
8.49,35,-0.8636989,-0.8636989,36
8.5,35,-0.7138614,-0.7138614,36
8.51,35,-0.562937,-0.562937,36
8.52,35,-0.4074088,-0.4074088,36
8.53,35,-0.2505299,-0.2505299,36
8.54,35,-0.09361786,-0.09361786,36
8.55,35,0.06253952,0.06253952,36
8.56,35,0.2214424,0.2214424,36
8.57,35,0.3812115,0.3812115,36
8.58,35,0.5359798,0.5359798,36
8.59,35,0.6776073,0.6776073,36
8.6,35,0.8208399,0.8208399,36
8.61,35,0.9610795,0.9610795,36
8.62,35,1.091528,1.091528,36
8.63,35,1.218674,1.218674,36
8.64,35,1.334661,1.334661,36
8.65,35,1.44103,1.44103,36
8.66,35,1.539567,1.539567,36
8.67,35,1.62987,1.62987,36
8.68,35,1.706134,1.706134,36
8.69,35,1.778802,1.778802,36
8.7,35,1.830999,1.830999,36
8.71,35,1.872988,1.872988,36
8.72,35,1.901565,1.901565,36
8.73,35,1.918098,1.918098,36
8.74,35,1.922162,1.922162,36
8.75,35,1.917748,1.917748,36
8.76,35,1.9025,1.9025,36
8.77,35,1.878414,1.878414,36
8.78,35,1.838868,1.838868,36
8.79,35,1.789563,1.789563,36
8.8,35,1.730862,1.730862,36
8.81,35,1.665872,1.665872,36
8.82,35,1.58961,1.58961,36
8.83,35,1.509418,1.509418,36
8.84,35,1.423444,1.423444,36
8.85,35,1.330289,1.330289,36
8.86,35,1.227842,1.227842,36
8.87,35,1.123763,1.123763,36
8.88,35,1.013549,1.013549,36
8.89,35,0.9045244,0.9045244,36
8.9,35,0.7890972,0.7890972,36
8.91,35,0.6773876,0.6773876,36
8.92,35,0.5564697,0.5564697,36
8.93,35,0.4335988,0.4335988,36
8.94,35,0.3125511,0.3125511,36
8.95,35,0.1951084,0.1951084,36
8.96,35,0.07228924,0.07228924,36
8.97,35,-0.03452136,-0.03452136,36
8.98,35,-0.1454663,-0.1454663,36
8.99,35,-0.2513759,-0.2513759,36
9,35,-0.3539605,-0.3539605,36
9.01,35,-0.4524229,-0.4524229,36
9.02,35,-0.5460217,-0.5460217,36
9.03,35,-0.634699,-0.634699,36
9.04,35,-0.710566,-0.710566,36
9.05,35,-0.7879512,-0.7879512,36
9.06,35,-0.8532509,-0.8532509,36
9.07,35,-0.9006296,-0.9006296,36
9.08,35,-0.9454876,-0.9454876,36
9.09,35,-0.9806968,-0.9806968,36
9.1,35,-1.010147,-1.010147,36
9.11,35,-1.027182,-1.027182,36
9.12,35,-1.032961,-1.032961,36
9.13,35,-1.032137,-1.032137,36
9.14,35,-1.021736,-1.021736,36
9.15,35,-1.007239,-1.007239,36
9.16,35,-0.9881209,-0.9881209,36
9.17,35,-0.9609896,-0.9609896,36
9.18,35,-0.924871,-0.924871,36
9.19,35,-0.8808476,-0.8808476,36
9.2,35,-0.8295662,-0.8295662,36
9.21,35,-0.7731475,-0.7731475,36
9.22,35,-0.7123744,-0.7123744,36
9.23,35,-0.6448557,-0.6448557,36
9.24,35,-0.5716658,-0.5716658,36
9.25,35,-0.4970895,-0.4970895,36
9.26,35,-0.4241079,-0.4241079,36
9.27,35,-0.3419715,-0.3419715,36
9.28,35,-0.2584094,-0.2584094,36
9.29,35,-0.1769834,-0.1769834,36
9.3,35,-0.08767704,-0.08767704,36
9.31,35,0.0007210452,0.0007210452,36
9.32,35,0.08408167,0.08408167,36
9.33,35,0.1694809,0.1694809,36
9.34,35,0.251997,0.251997,36
9.35,35,0.3389508,0.3389508,36
9.36,35,0.4171268,0.4171268,36
9.37,35,0.4911687,0.4911687,36
9.38,35,0.5625796,0.5625796,36
9.39,35,0.6336892,0.6336892,36
9.4,35,0.7012362,0.7012362,36
9.41,35,0.7669848,0.7669848,36
9.42,35,0.8237939,0.8237939,36
9.43,35,0.8742509,0.8742509,36
9.44,35,0.9162914,0.9162914,36
9.45,35,0.9534864,0.9534864,36
9.46,35,0.9898629,0.9898629,36
9.47,35,1.018619,1.018619,36
9.48,35,1.039458,1.039458,36
9.49,35,1.059712,1.059712,36
9.5,35,1.068579,1.068579,36
9.51,35,1.064351,1.064351,36
9.52,35,1.060648,1.060648,36
9.53,35,1.049285,1.049285,36
9.54,35,1.037082,1.037082,36
9.55,35,1.018698,1.018698,36
9.56,35,0.9939883,0.9939883,36
9.57,35,0.9673603,0.9673603,36
9.58,35,0.9351043,0.9351043,36
9.59,35,0.8990365,0.8990365,36
9.6,35,0.8533692,0.8533692,36
9.61,35,0.8049415,0.8049415,36
9.62,35,0.7547395,0.7547395,36
9.63,35,0.7069362,0.7069362,36
9.64,35,0.6546487,0.6546487,36
9.65,35,0.5994825,0.5994825,36
9.66,35,0.5440039,0.5440039,36
9.67,35,0.4853799,0.4853799,36
9.68,35,0.4321529,0.4321529,36
9.69,35,0.3715546,0.3715546,36
9.7,35,0.3186014,0.3186014,36
9.71,35,0.2648357,0.2648357,36
9.72,35,0.2067554,0.2067554,36
9.73,35,0.1509722,0.1509722,36
9.74,35,0.09662329,0.09662329,36
9.75,35,0.04339739,0.04339739,36
9.76,35,-0.006989469,-0.006989469,36
9.77,35,-0.04926751,-0.04926751,36
9.78,35,-0.091336,-0.091336,36
9.79,35,-0.1300139,-0.1300139,36
9.8,35,-0.1649865,-0.1649865,36
9.81,35,-0.2032985,-0.2032985,36
9.82,35,-0.2324439,-0.2324439,36
9.83,35,-0.2586291,-0.2586291,36
9.84,35,-0.2754558,-0.2754558,36
9.85,35,-0.2923494,-0.2923494,36
9.86,35,-0.3037235,-0.3037235,36
9.87,35,-0.3167229,-0.3167229,36
9.88,35,-0.3182882,-0.3182882,36
9.89,35,-0.3142635,-0.3142635,36
9.9,35,-0.3111756,-0.3111756,36
9.91,35,-0.3034668,-0.3034668,36
9.92,35,-0.2942883,-0.2942883,36
9.93,35,-0.2820014,-0.2820014,36
9.94,35,-0.2612401,-0.2612401,36
9.95,35,-0.2430296,-0.2430296,36
9.96,35,-0.2239548,-0.2239548,36
9.97,35,-0.1993834,-0.1993834,36
9.98,35,-0.1711612,-0.1711612,36
9.99,35,-0.1423136,-0.1423136,36
10,35,-0.1148574,-0.1148574,36
10.01,35,-0.07960225,-0.07960225,36
10.02,35,-0.04895211,-0.04895211,36
10.03,35,-0.01912379,-0.01912379,36
10.04,35,0.0158247,0.0158247,36
10.05,35,0.05060536,0.05060536,36
10.06,35,0.08404588,0.08404588,36
10.07,35,0.1149073,0.1149073,36
10.08,35,0.1489851,0.1489851,36
10.09,35,0.1826243,0.1826243,36
10.1,35,0.214502,0.214502,36
10.11,35,0.2459758,0.2459758,36
10.12,35,0.2809811,0.2809811,36
10.13,35,0.3016921,0.3016921,36
10.14,35,0.3255302,0.3255302,36
10.15,35,0.3493009,0.3493009,36
10.16,35,0.3774268,0.3774268,36
10.17,35,0.4019511,0.4019511,36
10.18,35,0.4227512,0.4227512,36
10.19,35,0.4332074,0.4332074,36
10.2,35,0.4484685,0.4484685,36
10.21,35,0.4563896,0.4563896,36
10.22,35,0.4653778,0.4653778,36
10.23,35,0.4691855,0.4691855,36
10.24,35,0.4751966,0.4751966,36
10.25,35,0.4741107,0.4741107,36
10.26,35,0.4707924,0.4707924,36
10.27,35,0.4661977,0.4661977,36
10.28,35,0.4646253,0.4646253,36
10.29,35,0.4615116,0.4615116,36
10.3,35,0.4562666,0.4562666,36
10.31,35,0.4476127,0.4476127,36
10.32,35,0.4424451,0.4424451,36
10.33,35,0.4377622,0.4377622,36
10.34,35,0.4258193,0.4258193,36
10.35,35,0.4137784,0.4137784,36
10.36,35,0.4012222,0.4012222,36
10.37,35,0.3907501,0.3907501,36
10.38,35,0.3792666,0.3792666,36
10.39,35,0.3647411,0.3647411,36
10.4,35,0.3534586,0.3534586,36
10.41,35,0.33724,0.33724,36
10.42,35,0.3213452,0.3213452,36
10.43,35,0.3038307,0.3038307,36
10.44,35,0.2909617,0.2909617,36
10.45,35,0.282044,0.282044,36
10.46,35,0.27424,0.27424,36
10.47,35,0.2655704,0.2655704,36
10.48,35,0.2565074,0.2565074,36
10.49,35,0.2481352,0.2481352,36
10.5,35,0.2414597,0.2414597,36
10.51,35,0.2372754,0.2372754,36
10.52,35,0.2327464,0.2327464,36
10.53,35,0.2235187,0.2235187,36
10.54,35,0.2178892,0.2178892,36
10.55,35,0.2108656,0.2108656,36
10.56,35,0.205257,0.205257,36
10.57,35,0.2063926,0.2063926,36
10.58,35,0.2055437,0.2055437,36
10.59,35,0.2040559,0.2040559,36
10.6,35,0.1996861,0.1996861,36
10.61,35,0.2002984,0.2002984,36
10.62,35,0.2047679,0.2047679,36
10.63,35,0.2079902,0.2079902,36
10.64,35,0.2085537,0.2085537,36
10.65,35,0.2108254,0.2108254,36
10.66,35,0.2132894,0.2132894,36
10.67,35,0.2159584,0.2159584,36
10.68,35,0.2188306,0.2188306,36
10.69,35,0.2224879,0.2224879,36
10.7,35,0.2260035,0.2260035,36
10.71,35,0.2270113,0.2270113,36
10.72,35,0.2267098,0.2267098,36
10.73,35,0.2268258,0.2268258,36
10.74,35,0.225792,0.225792,36
10.75,35,0.225454,0.225454,36
10.76,35,0.2262746,0.2262746,36
10.77,35,0.2222115,0.2222115,36
10.78,35,0.2220007,0.2220007,36
10.79,35,0.220629,0.220629,36
10.8,35,0.2161963,0.2161963,36
10.81,35,0.2165731,0.2165731,36
10.82,35,0.212956,0.212956,36
10.83,35,0.2104458,0.2104458,36
10.84,35,0.2088886,0.2088886,36
10.85,35,0.2119264,0.2119264,36
10.86,35,0.2137447,0.2137447,36
10.87,35,0.214508,0.214508,36
10.88,35,0.2200773,0.2200773,36
10.89,35,0.2192087,0.2192087,36
10.9,35,0.2183838,0.2183838,36
10.91,35,0.2184173,0.2184173,36
10.92,35,0.2141604,0.2141604,36
10.93,35,0.2136331,0.2136331,36
10.94,35,0.2139284,0.2139284,36
10.95,35,0.2146692,0.2146692,36
10.96,35,0.2128471,0.2128471,36
10.97,35,0.2117693,0.2117693,36
10.98,35,0.21202,0.21202,36
10.99,35,0.2118015,0.2118015,36
11,35,0.2124561,0.2124561,36
11.01,35,0.2074013,0.2074013,36
11.02,35,0.2067644,0.2067644,36
11.03,35,0.2065905,0.2065905,36
11.04,35,0.2030032,0.2030032,36
11.05,35,0.2025329,0.2025329,36
11.06,35,0.2035047,0.2035047,36
11.07,35,0.203151,0.203151,36
11.08,35,0.1995242,0.1995242,36
11.09,35,0.1999923,0.1999923,36
11.1,35,0.1973358,0.1973358,36
11.11,35,0.1934578,0.1934578,36
11.12,35,0.1969346,0.1969346,36
11.13,35,0.1956256,0.1956256,36
11.14,35,0.1957483,0.1957483,36
11.15,35,0.1962949,0.1962949,36
11.16,35,0.1944475,0.1944475,36
11.17,35,0.1937717,0.1937717,36
11.18,35,0.1978243,0.1978243,36
11.19,35,0.2013331,0.2013331,36
11.2,35,0.2007483,0.2007483,36
11.21,35,0.199866,0.199866,36
11.22,35,0.1940494,0.1940494,36
11.23,35,0.1934034,0.1934034,36
11.24,35,0.1947597,0.1947597,36
11.25,35,0.197092,0.197092,36
11.26,35,0.1950567,0.1950567,36
11.27,35,0.196905,0.196905,36
11.28,35,0.1940355,0.1940355,36
11.29,35,0.1926708,0.1926708,36
11.3,35,0.1933636,0.1933636,36
11.31,35,0.1930539,0.1930539,36
11.32,35,0.1907368,0.1907368,36
11.33,35,0.1870766,0.1870766,36
11.34,35,0.1841018,0.1841018,36
11.35,35,0.1838676,0.1838676,36
11.36,35,0.1886516,0.1886516,36
11.37,35,0.191734,0.191734,36
11.38,35,0.1952804,0.1952804,36
11.39,35,0.1937429,0.1937429,36
11.4,35,0.1919691,0.1919691,36
11.41,35,0.1902304,0.1902304,36
11.42,35,0.1945214,0.1945214,36
11.43,35,0.1917391,0.1917391,36
11.44,35,0.1934249,0.1934249,36
11.45,35,0.1957889,0.1957889,36
11.46,35,0.1919583,0.1919583,36
11.47,35,0.1908003,0.1908003,36
11.48,35,0.1933844,0.1933844,36
11.49,35,0.1906284,0.1906284,36
11.5,35,0.1887688,0.1887688,36
11.51,35,0.1912289,0.1912289,36
11.52,35,0.1906681,0.1906681,36
11.53,35,0.1928013,0.1928013,36
11.54,35,0.1953196,0.1953196,36
11.55,35,0.1983424,0.1983424,36
11.56,35,0.1973025,0.1973025,36
11.57,35,0.2003971,0.2003971,36
11.58,35,0.202098,0.202098,36
11.59,35,0.1959293,0.1959293,36
11.6,35,0.1972106,0.1972106,36
11.61,35,0.1982913,0.1982913,36
11.62,35,0.1940764,0.1940764,36
11.63,35,0.1948569,0.1948569,36
11.64,35,0.1952061,0.1952061,36
11.65,35,0.1990887,0.1990887,36
11.66,35,0.1957102,0.1957102,36
11.67,35,0.1969965,0.1969965,36
11.68,35,0.1953941,0.1953941,36
11.69,35,0.1949993,0.1949993,36
11.7,35,0.1933581,0.1933581,36
11.71,35,0.1942918,0.1942918,36
11.72,35,0.1879282,0.1879282,36
11.73,35,0.1797381,0.1797381,36
11.74,35,0.1792447,0.1792447,36
11.75,35,0.1831864,0.1831864,36
11.76,35,0.1894205,0.1894205,36
11.77,35,0.1873655,0.1873655,36
11.78,35,0.1899181,0.1899181,36
11.79,35,0.1881208,0.1881208,36
11.8,35,0.1892096,0.1892096,36
11.81,35,0.1891377,0.1891377,36
11.82,35,0.1923292,0.1923292,36
11.83,35,0.1944269,0.1944269,36
11.84,35,0.1897643,0.1897643,36
11.85,35,0.18654,0.18654,36
11.86,35,0.18827,0.18827,36
11.87,35,0.1902214,0.1902214,36
11.88,35,0.1895435,0.1895435,36
11.89,35,0.1931664,0.1931664,36
11.9,35,0.1918901,0.1918901,36
11.91,35,0.193199,0.193199,36
11.92,35,0.1947655,0.1947655,36
11.93,35,0.1895587,0.1895587,36
11.94,35,0.1870997,0.1870997,36
11.95,35,0.182961,0.182961,36
11.96,35,0.182316,0.182316,36
11.97,35,0.1849739,0.1849739,36
11.98,35,0.1887034,0.1887034,36
11.99,35,0.190888,0.190888,36
12,35,0.1970004,0.1970004,36
12.01,35,0.1979515,0.1979515,36
12.02,35,0.201604,0.201604,36
12.03,35,0.2038639,0.2038639,36
12.04,35,0.2064637,0.2064637,36
12.05,35,0.2101445,0.2101445,36
12.06,35,0.2068921,0.2068921,36
12.07,35,0.2083434,0.2083434,36
12.08,35,0.2050558,0.2050558,36
12.09,35,0.2039828,0.2039828,36
12.1,35,0.2060286,0.2060286,36
12.11,35,0.2070064,0.2070064,36
12.12,35,0.2069551,0.2069551,36
12.13,35,0.2093227,0.2093227,36
12.14,35,0.2114568,0.2114568,36
12.15,35,0.2131092,0.2131092,36
12.16,35,0.2125966,0.2125966,36
12.17,35,0.2139695,0.2139695,36
12.18,35,0.213875,0.213875,36
12.19,35,0.2115117,0.2115117,36
12.2,35,0.2140815,0.2140815,36
12.21,35,0.2162609,0.2162609,36
12.22,35,0.2153965,0.2153965,36
12.23,35,0.2135398,0.2135398,36
12.24,35,0.2143106,0.2143106,36
12.25,35,0.2103385,0.2103385,36
12.26,35,0.2103167,0.2103167,36
12.27,35,0.2088684,0.2088684,36
12.28,35,0.2063355,0.2063355,36
12.29,35,0.2060257,0.2060257,36
12.3,35,0.2036,0.2036,36
12.31,35,0.2024085,0.2024085,36
12.32,35,0.2005047,0.2005047,36
12.33,35,0.2015371,0.2015371,36
12.34,35,0.1972369,0.1972369,36
12.35,35,0.1963308,0.1963308,36
12.36,35,0.1939085,0.1939085,36
12.37,35,0.1941012,0.1941012,36
12.38,35,0.1947177,0.1947177,36
12.39,35,0.1955605,0.1955605,36
12.4,35,0.1957225,0.1957225,36
12.41,35,0.1931506,0.1931506,36
12.42,35,0.1918088,0.1918088,36
12.43,35,0.1846866,0.1846866,36
12.44,35,0.1823365,0.1823365,36
12.45,35,0.1827469,0.1827469,36
12.46,35,0.1821418,0.1821418,36
12.47,35,0.1805743,0.1805743,36
12.48,35,0.1831822,0.1831822,36
12.49,35,0.1844173,0.1844173,36
12.5,35,0.1881526,0.1881526,36
12.51,35,0.1878151,0.1878151,36
12.52,35,0.1859153,0.1859153,36
12.53,35,0.1907655,0.1907655,36
12.54,35,0.1923354,0.1923354,36
12.55,35,0.1970024,0.1970024,36
12.56,35,0.1986633,0.1986633,36
12.57,35,0.1965819,0.1965819,36
12.58,35,0.1920499,0.1920499,36
12.59,35,0.1922585,0.1922585,36
12.6,35,0.1959257,0.1959257,36
12.61,35,0.2002911,0.2002911,36
12.62,35,0.2090121,0.2090121,36
12.63,35,0.210998,0.210998,36
12.64,35,0.2028273,0.2028273,36
12.65,35,0.2020478,0.2020478,36
12.66,35,0.1942014,0.1942014,36
12.67,35,0.1891747,0.1891747,36
12.68,35,0.1941847,0.1941847,36
12.69,35,0.203089,0.203089,36
12.7,35,0.2100786,0.2100786,36
12.71,35,0.2099929,0.2099929,36
12.72,35,0.2031087,0.2031087,36
12.73,35,0.1988041,0.1988041,36
12.74,35,0.1919898,0.1919898,36
12.75,35,0.1994749,0.1994749,36
12.76,35,0.2057099,0.2057099,36
12.77,35,0.2065216,0.2065216,36
12.78,35,0.201301,0.201301,36
12.79,35,0.1967117,0.1967117,36
12.8,35,0.1954401,0.1954401,36
12.81,35,0.1891028,0.1891028,36
12.82,35,0.1896226,0.1896226,36
12.83,35,0.1931964,0.1931964,36
12.84,35,0.1893345,0.1893345,36
12.85,35,0.1818143,0.1818143,36
12.86,35,0.1828544,0.1828544,36
12.87,35,0.1813037,0.1813037,36
12.88,35,0.1856378,0.1856378,36
12.89,35,0.1889469,0.1889469,36
12.9,35,0.1862856,0.1862856,36
12.91,35,0.1816954,0.1816954,36
12.92,35,0.1743197,0.1743197,36
12.93,35,0.1757471,0.1757471,36
12.94,35,0.1809419,0.1809419,36
12.95,35,0.1842669,0.1842669,36
12.96,35,0.1841757,0.1841757,36
12.97,35,0.1860542,0.1860542,36
12.98,35,0.18732,0.18732,36
12.99,35,0.1929685,0.1929685,36
13,35,0.1903723,0.1903723,36
13.01,35,0.1929488,0.1929488,36
13.02,35,0.1945727,0.1945727,36
13.03,35,0.196956,0.196956,36
13.04,35,0.1966132,0.1966132,36
13.05,35,0.1937436,0.1937436,36
13.06,35,0.197248,0.197248,36
13.07,35,0.2014138,0.2014138,36
13.08,35,0.2000127,0.2000127,36
13.09,35,0.2000242,0.2000242,36
13.1,35,0.1952526,0.1952526,36
13.11,35,0.1934526,0.1934526,36
13.12,35,0.1892855,0.1892855,36
13.13,35,0.1980416,0.1980416,36
13.14,35,0.1954158,0.1954158,36
13.15,35,0.195363,0.195363,36
13.16,35,0.1936225,0.1936225,36
13.17,35,0.1935287,0.1935287,36
13.18,35,0.1958828,0.1958828,36
13.19,35,0.1999127,0.1999127,36
13.2,35,0.2029429,0.2029429,36
13.21,35,0.2027351,0.2027351,36
13.22,35,0.2022384,0.2022384,36
13.23,35,0.20021,0.20021,36
13.24,35,0.1976714,0.1976714,36
13.25,35,0.1918396,0.1918396,36
13.26,35,0.1940013,0.1940013,36
13.27,35,0.1935077,0.1935077,36
13.28,35,0.197395,0.197395,36
13.29,35,0.1947828,0.1947828,36
13.3,35,0.1946531,0.1946531,36
13.31,35,0.1961019,0.1961019,36
13.32,35,0.1960995,0.1960995,36
13.33,35,0.196246,0.196246,36
13.34,35,0.1971094,0.1971094,36
13.35,35,0.2006395,0.2006395,36
13.36,35,0.1999279,0.1999279,36
13.37,35,0.2011253,0.2011253,36
13.38,35,0.2056617,0.2056617,36
13.39,35,0.2102046,0.2102046,36
13.4,35,0.2101881,0.2101881,36
13.41,35,0.2097454,0.2097454,36
13.42,35,0.2141833,0.2141833,36
13.43,35,0.2112143,0.2112143,36
13.44,35,0.2123309,0.2123309,36
13.45,35,0.210877,0.210877,36
13.46,35,0.2090049,0.2090049,36
13.47,35,0.2093206,0.2093206,36
13.48,35,0.2110289,0.2110289,36
13.49,35,0.2083027,0.2083027,36
13.5,35,0.2134884,0.2134884,36
13.51,35,0.2189681,0.2189681,36
13.52,35,0.219132,0.219132,36
13.53,35,0.21647,0.21647,36
13.54,35,0.2160053,0.2160053,36
13.55,35,0.2136984,0.2136984,36
13.56,35,0.2171281,0.2171281,36
13.57,35,0.2195966,0.2195966,36
13.58,35,0.2218987,0.2218987,36
13.59,35,0.2271023,0.2271023,36
13.6,35,0.2347141,0.2347141,36
13.61,35,0.2407698,0.2407698,36
13.62,35,0.2462798,0.2462798,36
13.63,35,0.2472853,0.2472853,36
13.64,35,0.2458952,0.2458952,36
13.65,35,0.2427165,0.2427165,36
13.66,35,0.2447855,0.2447855,36
13.67,35,0.240478,0.240478,36
13.68,35,0.2428467,0.2428467,36
13.69,35,0.2340598,0.2340598,36
13.7,35,0.2329374,0.2329374,36
13.71,35,0.2328289,0.2328289,36
13.72,35,0.235987,0.235987,36
13.73,35,0.2366269,0.2366269,36
13.74,35,0.2322807,0.2322807,36
13.75,35,0.2302118,0.2302118,36
13.76,35,0.2306136,0.2306136,36
13.77,35,0.2300202,0.2300202,36
13.78,35,0.2279797,0.2279797,36
13.79,35,0.2338401,0.2338401,36
13.8,35,0.2336694,0.2336694,36
13.81,35,0.2353534,0.2353534,36
13.82,35,0.2334504,0.2334504,36
13.83,35,0.2310455,0.2310455,36
13.84,35,0.2298838,0.2298838,36
13.85,35,0.2243078,0.2243078,36
13.86,35,0.2230325,0.2230325,36
13.87,35,0.2251989,0.2251989,36
13.88,35,0.2295696,0.2295696,36
13.89,35,0.2292856,0.2292856,36
13.9,35,0.2226356,0.2226356,36
13.91,35,0.2208546,0.2208546,36
13.92,35,0.2188338,0.2188338,36
13.93,35,0.2198575,0.2198575,36
13.94,35,0.2191256,0.2191256,36
13.95,35,0.2147249,0.2147249,36
13.96,35,0.2120313,0.2120313,36
13.97,35,0.2108492,0.2108492,36
13.98,35,0.2132615,0.2132615,36
13.99,35,0.2101594,0.2101594,36
14,35,0.2079059,0.2079059,36
14.01,35,0.205573,0.205573,36
14.02,35,0.2018815,0.2018815,36
14.03,35,0.2008756,0.2008756,36
14.04,35,0.2048595,0.2048595,36
14.05,35,0.2082778,0.2082778,36
14.06,35,0.2127286,0.2127286,36
14.07,35,0.2136514,0.2136514,36
14.08,35,0.210285,0.210285,36
14.09,35,0.2130116,0.2130116,36
14.1,35,0.2102639,0.2102639,36
14.11,35,0.2092987,0.2092987,36
14.12,35,0.2118986,0.2118986,36
14.13,35,0.208993,0.208993,36
14.14,35,0.2047623,0.2047623,36
14.15,35,0.20135,0.20135,36
14.16,35,0.1993509,0.1993509,36
14.17,35,0.199251,0.199251,36
14.18,35,0.1998767,0.1998767,36
14.19,35,0.2012073,0.2012073,36
14.2,35,0.2006264,0.2006264,36
14.21,35,0.205876,0.205876,36
14.22,35,0.2028635,0.2028635,36
14.23,35,0.2057547,0.2057547,36
14.24,35,0.2074595,0.2074595,36
14.25,35,0.2058202,0.2058202,36
14.26,35,0.2048351,0.2048351,36
14.27,35,0.2033103,0.2033103,36
14.28,35,0.2045363,0.2045363,36
