t,u,theta,phi
1.61,8.119189e-05,0.0005440961,0
1.62,0.0003780604,0.0005840552,0
1.63,7.541472e-05,0.0005611069,0
1.64,0.0003795573,0.000571251,0
1.65,8.797013e-05,0.0005887953,0
1.66,0.0003948819,0.0006084882,0
1.67,9.319562e-05,0.0006106331,0
1.68,0.0003965673,0.0006127271,0
1.69,6.843974e-05,0.0005707693,0
1.7,0.0003516619,0.000509913,0
1.71,2.254806e-05,0.0004537123,0
1.72,0.0002871062,0.000364853,0
1.73,2.936809e-06,0.0003617873,0
1.74,0.0002857919,0.0003606186,0
1.75,3.006535e-05,0.0004062224,0
1.76,0.0003178429,0.0004444396,0
1.77,8.282179e-06,0.0003953953,0
1.78,0.0002947843,0.0003733124,0
1.79,-3.723733e-05,0.0003048075,0
1.8,0.0002853958,0.0003119949,0
1.81,4.290036e-06,0.0003788114,0
1.82,0.000287125,0.0003594213,0
1.83,-1.924984e-05,0.0003266515,0
1.84,0.0002966256,0.0003534091,0
1.85,-1.004887e-05,0.0003598249,0
1.86,0.0003196331,0.000396032,0
1.87,4.210979e-05,0.0004708941,0
1.88,0.0003144094,0.0004372339,0
1.89,3.996836e-05,0.0004448849,0
1.9,0.0003450814,0.0004934546,0
1.91,-1.050808e-05,0.0003931373,0
1.92,0.0003418602,0.0004212078,0
1.93,-3.575452e-05,0.0003697736,0
1.94,0.0003046672,0.0003249299,0
1.95,-2.817699e-05,0.000352507,0
1.96,0.0003111879,0.0003541825,0
1.97,-7.264413e-05,0.0002795121,0
1.98,0.0003351097,0.0003442719,0
1.99,-5.322053e-05,0.000355058,0
2,0.0003380144,0.0003563037,0
2.01,-2.316973e-05,0.0004059731,0
2.02,0.0003844499,0.0004668093,0
2.03,-3.148077e-05,0.0004326788,0
2.04,0.0003928827,0.0004581103,0
2.05,5.681068e-07,0.000503048,0
2.06,0.0004455481,0.0005758443,0
2.07,3.559166e-05,0.0006099514,0
2.08,0.0004855808,0.0006653036,0
2.09,5.865963e-05,0.0006852995,0
2.1,0.0004614147,0.0006383574,0
2.11,6.90102e-05,0.0006712557,0
2.12,0.0004800798,0.0006913982,0
2.13,4.191847e-05,0.0006395311,0
2.14,0.0004482884,0.0006038343,0
2.15,6.386632e-06,0.0005565136,0
2.16,0.0004231519,0.0005303931,0
2.17,1.683523e-05,0.0005565142,0
2.18,0.0003815858,0.0004785303,0
2.19,1.534732e-06,0.0004790241,0
2.2,0.0004241071,0.0005497283,0
2.21,1.287833e-05,0.0005450663,0
2.22,0.0004276418,0.0005525115,0
2.23,3.025272e-05,0.0005789871,0
2.24,0.000419256,0.0005561854,0
2.25,7.013891e-05,0.0006302629,0
2.26,0.0003796577,0.0005395733,0
2.27,5.513214e-05,0.0005447919,0
2.28,0.0004314191,0.0006293215,0
2.29,7.558317e-05,0.00063523,0
2.3,0.0004095301,0.0005967787,0
2.31,3.047239e-05,0.0005344112,0
2.32,0.0004023117,0.0005431698,0
2.33,5.484588e-06,0.0004986039,0
2.34,0.0003504758,0.0004270659,0
2.35,-4.007298e-05,0.0003749827,0
2.36,0.0003541727,0.0003985052,0
2.37,-4.995945e-05,0.0003741869,0
2.38,0.0003264518,0.0003360917,0
2.39,-5.494538e-05,0.0003404802,0
2.4,0.0003152987,0.0003204287,0
2.41,-1.873252e-05,0.0003874673,0
2.42,0.0003452562,0.0004150503,0
2.43,1.471741e-05,0.0004616059,0
2.44,0.0004018342,0.000540384,0
2.45,2.452605e-05,0.0005304724,0
2.46,0.0003531058,0.0004525623,0
2.47,-0.03425182,-0.0566487,0
2.48,-0.0313689,-0.09048496,0
2.49,-0.08127441,-0.1575772,0
2.5,-0.08316697,-0.2215432,0
2.51,-0.1299269,-0.2813088,0
2.52,-0.1293801,-0.3384088,0
2.53,-0.1756842,-0.3956375,0
2.54,-0.1749197,-0.4524607,0
2.55,-0.2114343,-0.4931032,0
2.56,-0.2018917,-0.5245089,0
2.57,-0.2378281,-0.55803,0
2.58,-0.2395438,-0.6096098,0
2.59,-0.2678413,-0.6424385,0
2.6,-0.2557077,-0.6584354,0
2.61,-0.2640432,-0.646773,0
2.62,-0.2520365,-0.6445419,0
2.63,-0.2685196,-0.6527462,0
2.64,-0.2570052,-0.6582927,0
2.65,-0.2797372,-0.6751399,0
2.66,-0.2590256,-0.6728914,0
2.67,-0.2705628,-0.6583501,0
2.68,-0.242786,-0.6361313,0
2.69,-0.2548263,-0.6173101,0
2.7,-0.2361559,-0.6125337,0
2.71,-0.2492637,-0.6048549,0
2.72,-0.2201805,-0.5807887,0
2.73,-0.2304693,-0.5574868,0
2.74,-0.2077481,-0.5445334,0
2.75,-0.2179792,-0.5280342,0
2.76,-0.1895978,-0.5032835,0
2.77,-0.1985677,-0.4791813,0
2.78,-0.168111,-0.4514041,0
2.79,-0.1732783,-0.4185141,0
2.8,-0.1417403,-0.3855263,0
2.81,-0.1497575,-0.357321,0
2.82,-0.1166746,-0.3249465,0
2.83,-0.1177646,-0.2824164,0
2.84,-0.08339323,-0.2411242,0
2.85,-0.08875157,-0.2065333,0
2.86,-0.05895636,-0.1773355,0
2.87,-0.06007892,-0.1392803,0
2.88,-0.02882957,-0.101754,0
2.89,-0.036901,-0.07563294,0
2.9,-0.01296791,-0.05790387,0
2.91,-0.01369859,-0.02514288,0
2.92,0.0160899,0.01236647,0
2.93,0.01589037,0.04917829,0
2.94,0.03412897,0.06697279,0
2.95,0.02513158,0.07644331,0
2.96,0.05844592,0.1138147,0
2.97,0.0620315,0.1628574,0
2.98,0.08734032,0.1946672,0
2.99,0.07809704,0.2108399,0
3,0.110574,0.2441718,0
3.01,0.1110869,0.2880442,0
3.02,0.1431815,0.3277659,0
3.03,0.135291,0.3548656,0
3.04,0.1667754,0.3851555,0
3.05,0.1565997,0.4105733,0
3.06,0.1809181,0.4256718,0
3.07,0.1731496,0.4482223,0
3.08,0.2058127,0.4821965,0
3.09,0.1899845,0.4989298,0
3.1,0.2079756,0.4969569,0
3.11,0.1903129,0.4981619,0
3.12,0.2155337,0.5103571,0
3.13,0.1980971,0.5192657,0
3.14,0.2132466,0.5124843,0
3.15,0.1851847,0.4932241,0
3.16,0.2015237,0.480106,0
3.17,0.1775726,0.4717918,0
3.18,0.2008533,0.4734459,0
3.19,0.175559,0.4695387,0
3.2,0.1904437,0.4534917,0
3.21,0.1583964,0.4302363,0
3.22,0.1799882,0.4205622,0
3.23,0.15325,0.4152095,0
3.24,0.1648206,0.3917144,0
3.25,0.1296608,0.3602308,0
3.26,0.146136,0.3395844,0
3.27,0.1153894,0.3226809,0
3.28,0.1240014,0.2914244,0
3.29,0.08726157,0.2549635,0
3.3,0.09558488,0.2197562,0
3.31,0.06069447,0.1872135,0
3.32,0.07399433,0.1620768,0
3.33,0.03707058,0.1310826,0
3.34,0.04692831,0.09630396,0
3.35,0.007175671,0.05807198,0
3.36,0.02181786,0.02896522,0
3.37,-0.007290278,0.01455756,0
3.38,0.004001779,-0.01033335,0
3.39,-0.02821151,-0.0369051,0
3.4,-0.01535156,-0.06030342,0
3.41,-0.03807607,-0.06894491,0
3.42,-0.02586182,-0.08358151,0
3.43,-0.05788119,-0.1117112,0
3.44,-0.04859637,-0.1402255,0
3.45,-0.07488383,-0.1590585,0
3.46,-0.06006917,-0.1719022,0
3.47,-0.08883292,-0.1908694,0
3.48,-0.08232064,-0.2216328,0
3.49,-0.1098036,-0.2463295,0
3.5,-0.09293798,-0.2557928,0
3.51,-0.1199155,-0.2694915,0
3.52,-0.1090958,-0.291855,0
3.53,-0.1377406,-0.3141091,0
3.54,-0.1197415,-0.3244337,0
3.55,-0.1451199,-0.3332911,0
3.56,-0.1297883,-0.3470833,0
3.57,-0.1566687,-0.3617339,0
3.58,-0.1397891,-0.3735185,0
3.59,-0.163432,-0.3808625,0
3.6,-0.1439959,-0.3854257,0
3.61,-0.166237,-0.3885796,0
3.62,-0.1483419,-0.3947718,0
3.63,-0.1696575,-0.3984084,0
3.64,-0.1485597,-0.397559,0
3.65,-0.1652868,-0.3905577,0
