t,u,theta,phi
0,0,0,0
0.01,0,4.387442e-06,0.002163172
0.02,0,8.067621e-05,0.002163172
0.03,0,6.551771e-05,0.002163172
0.04,0,9.289449e-05,0.002163172
0.05,0,0.0001014339,0.002163172
0.06,0,0.000110285,0.002163172
0.07,0,0.0002108409,-0.002699375
0.08,0,0.0001695142,-0.002699375
0.09,0,0.0002262596,0.002163172
0.1,0,0.0001701972,0.002163172
0.11,0,0.0001701016,0.002163172
0.12,0,9.543552e-05,-0.002699375
0.13,0,0.0001021714,-0.002699375
0.14,0,7.604996e-05,0.002163172
0.15,0,2.282774e-05,-0.002699375
0.16,0,-3.094472e-05,-0.002699375
0.17,0,-4.827979e-05,-0.002699375
0.18,0,-0.0001075175,-0.002699375
0.19,0,-9.790235e-05,-0.002699375
0.2,0,-8.344202e-05,0.002163172
0.21,0,-9.079706e-05,-0.002699375
0.22,0,-9.111797e-05,-0.002699375
0.23,0,-3.151117e-05,-0.002699375
0.24,0,4.3565e-05,-0.002699375
0.25,0,9.665811e-05,0.002163172
0.26,0,3.638752e-05,-0.002699375
0.27,0,0.0001168059,-0.002699375
0.28,0,0.0001108485,0.002163172
0.29,0,3.24936e-05,-0.002699375
0.3,0,-2.890682e-05,0.002163172
0.31,0,-0.000158081,0.002163172
0.32,0,-0.0001424374,0.002163172
0.33,0,-0.0002094219,0.002163172
0.34,0,-0.0002588888,0.002163172
0.35,0,-0.0002227055,-0.002699375
0.36,0,-0.0002591171,0.002163172
0.37,0,-0.0002394821,-0.002699375
0.38,0,-0.0001581669,0.002163172
0.39,0,-0.0001042017,0.002163172
0.4,0,-0.0001631248,0.002163172
0.41,0,-7.656268e-05,0.002163172
0.42,0,-5.983266e-05,0.002163172
0.43,0,-2.890262e-05,0.002163172
0.44,0,8.122715e-06,-0.002699375
0.45,0,4.238892e-06,-0.002699375
0.46,0,-2.626966e-05,0.002163172
0.47,0,0.0001038829,0.002163172
0.48,0,9.030514e-05,0.002163172
0.49,0,5.489647e-05,-0.002699375
0.5,0,0.0001225712,-0.002699375
0.51,0,0.000143351,-0.002699375
0.52,0,8.870313e-05,-0.002699375
0.53,0,0.0001027143,-0.002699375
0.54,0,0.0001182706,0.002163172
0.55,0,8.387076e-05,-0.002699375
0.56,0,0.0001522451,-0.002699375
0.57,0,0.0001715816,0.002163172
0.58,0,0.0001236853,0.002163172
0.59,0,0.0001738461,-0.002699375
0.6,0,0.0001736524,0.002163172
0.61,0,0.0001536799,-0.002699375
0.62,0,0.0001291293,0.002163172
0.63,0,0.0001448808,0.002163172
0.64,0,0.0001644029,0.002163172
0.65,0,0.0001535532,-0.002699375
0.66,0,0.0001203674,-0.002699375
0.67,0,2.117949e-05,0.002163172
0.68,0,-1.486498e-05,-0.002699375
0.69,0,4.207998e-05,-0.002699375
0.7,0,-3.926747e-05,-0.002699375
0.71,0,3.166441e-05,0.002163172
0.72,0,7.514883e-05,0.002163172
0.73,0,0.0001295658,-0.002699375
0.74,0,3.304073e-05,0.002163172
0.75,0,4.104936e-05,-0.002699375
0.76,0,-6.008506e-06,0.002163172
0.77,0,2.061619e-05,-0.002699375
0.78,0,9.100998e-05,-0.002699375
0.79,0,5.337108e-05,-0.002699375
0.8,0,7.026447e-06,0.002163172
0.81,0,9.361473e-05,0.002163172
0.82,0,0.0001356915,-0.002699375
0.83,0,0.0001712671,0.002163172
