t,u,theta,phi
1.45,-0.3490658,-0.1667386,-0.3838816
1.46,-0.3490658,-0.1819939,-0.3838816
1.47,-0.3490658,-0.1954287,-0.3838816
1.48,-0.3490658,-0.2072891,-0.3838816
1.49,-0.3490658,-0.2181624,-0.3838816
1.5,-0.3490658,-0.2271784,-0.3838816
1.51,-0.3490658,-0.2342961,-0.3887436
1.52,-0.3490658,-0.2404624,-0.3887436
1.53,-0.3490658,-0.2452513,-0.3838816
1.54,-0.3490658,-0.2478504,-0.3838816
1.55,-0.3490658,-0.2486849,-0.3838816
1.56,-0.3490658,-0.248437,-0.3838816
1.57,-0.3490658,-0.2464074,-0.3838816
1.58,-0.3490658,-0.2427556,-0.3838816
1.59,-0.3490658,-0.23742,-0.3838816
1.6,-0.3490658,-0.2301165,-0.3887436
1.61,-0.3490658,-0.2215929,-0.3838816
1.62,-0.3490658,-0.2117883,-0.3838816
1.63,-0.3490658,-0.2002296,-0.3838816
1.64,-0.3490658,-0.1875058,-0.3838816
1.65,-0.3490658,-0.1738508,-0.3838816
1.66,-0.3490658,-0.1590786,-0.3838816
1.67,-0.3490658,-0.1430556,-0.3838816
1.68,-0.3490658,-0.1260535,-0.3838816
1.69,-0.3490658,-0.108279,-0.3838816
1.7,-0.3490658,-0.09008094,-0.3838816
1.71,-0.3490658,-0.0712355,-0.3838816
1.72,-0.3490658,-0.05172018,-0.3838816
1.73,-0.3490658,-0.03201644,-0.3838816
1.74,-0.3490658,-0.01209877,-0.3838816
1.75,-0.3490658,0.007938963,-0.3838816
1.76,-0.3490658,0.02796197,-0.3838816
1.77,-0.3490658,0.04784972,-0.3838816
1.78,-0.3490658,0.06748143,-0.3838816
1.79,-0.3490658,0.08656014,-0.3838816
1.8,-0.3490658,0.1053611,-0.3838816
1.81,-0.3490658,0.1233658,-0.3838816
1.82,-0.3490658,0.1405396,-0.3838816
1.83,-0.3490658,0.1567939,-0.3838816
1.84,-0.3490658,0.1721516,-0.3838816
1.85,-0.3490658,0.1864226,-0.3838816
1.86,-0.3490658,0.1996293,-0.3838816
1.87,-0.3490658,0.2115459,-0.3838816
1.88,-0.3490658,0.2222739,-0.3838816
1.89,-0.3490658,0.231624,-0.3838816
1.9,-0.3490658,0.2394758,-0.3838816
1.91,-0.3490658,0.2459704,-0.3838816
1.92,-0.3490658,0.250949,-0.3838816
1.93,-0.3490658,0.2543366,-0.3838816
1.94,-0.3490658,0.2560367,-0.3838816
1.95,-0.3490658,0.2562096,-0.3838816
1.96,-0.3490658,0.2550074,-0.3838816
1.97,-0.3490658,0.2521169,-0.3838816
1.98,-0.3490658,0.2479379,-0.3838816
1.99,-0.3490658,0.2424161,-0.3838816
2,-0.3490658,0.2354048,-0.3838816
2.01,-0.3490658,0.2269007,-0.3838816
2.02,-0.3490658,0.2169565,-0.3838816
2.03,-0.3490658,0.2058145,-0.3838816
2.04,-0.3490658,0.1935271,-0.3838816
2.05,-0.3490658,0.1802211,-0.3838816
2.06,-0.3490658,0.1657512,-0.3838816
2.07,-0.3490658,0.1503076,-0.3838816
2.08,-0.3490658,0.1340609,-0.3838816
2.09,-0.3490658,0.1171381,-0.3838816
2.1,-0.3490658,0.09954735,-0.379019
2.11,-0.3490658,0.08152824,-0.3838816
2.12,-0.3490658,0.06303044,-0.3838816
2.13,-0.3490658,0.04425539,-0.3838816
2.14,-0.3490658,0.02528487,-0.3838816
2.15,-0.3490658,0.006322974,-0.3838816
2.16,-0.3490658,-0.01270593,-0.3838816
2.17,-0.3490658,-0.03158031,-0.3838816
2.18,-0.3490658,-0.05015244,-0.3838816
2.19,-0.3490658,-0.06831369,-0.3838816
2.2,-0.3490658,-0.08591962,-0.3838816
2.21,-0.3490658,-0.1027813,-0.3838816
2.22,-0.3490658,-0.1188822,-0.3838816
2.23,-0.3490658,-0.1340678,-0.3838816
2.24,-0.3490658,-0.1484357,-0.3838816
2.25,-0.3490658,-0.1619035,-0.3838816
2.26,-0.3490658,-0.174296,-0.3838816
2.27,-0.3490658,-0.1854656,-0.3838816
2.28,-0.3490658,-0.1953427,-0.3838816
2.29,-0.3490658,-0.204071,-0.3838816
2.3,-0.3490658,-0.2114321,-0.3838816
2.31,-0.3490658,-0.2174131,-0.3838816
2.32,-0.3490658,-0.2221214,-0.3838816
2.33,-0.3490658,-0.2254138,-0.3838816
2.34,-0.3490658,-0.2269579,-0.3838816
2.35,-0.3490658,-0.2272018,-0.3838816
