t,u,theta,phi
1.14,-0.0001942411,-0.0004856027,-7.081032e-05
1.15,-0.0001725196,-0.000431299,-7.081032e-05
1.16,-0.0001730188,-0.000432547,0.004791737
1.17,-0.0001748156,-0.0004370391,-7.081032e-05
1.18,-0.0001843895,-0.0004609737,0.004791737
1.19,-0.0001876137,-0.0004690343,-7.081032e-05
1.2,-0.0001662059,-0.0004155147,0.004791737
1.21,-0.0001877858,-0.0004694644,-7.081032e-05
1.22,-0.0001598909,-0.0003997272,0.004791737
1.23,-0.0001456922,-0.0003642306,-7.081032e-05
1.24,-0.0001427999,-0.0003569996,-7.081032e-05
1.25,-0.0001545147,-0.0003862868,-7.081032e-05
1.26,-0.0001598172,-0.0003995431,-7.081032e-05
1.27,-0.000138213,-0.0003455326,-7.081032e-05
1.28,-9.616289e-05,-0.0002404072,-7.081032e-05
1.29,-5.759811e-05,-0.0001439953,-7.081032e-05
1.3,-4.882906e-05,-0.0001220727,-7.081032e-05
1.31,-9.260717e-05,-0.0002315179,-7.081032e-05
1.32,-0.0001174713,-0.0002936782,-7.081032e-05
1.33,-0.0001278783,-0.0003196957,-7.081032e-05
1.34,-0.0001274791,-0.0003186978,-7.081032e-05
1.35,-0.0001150379,-0.0002875948,-7.081032e-05
1.36,-0.0001128131,-0.0002820328,-7.081032e-05
1.37,-8.500439e-05,-0.000212511,0.004791737
1.38,-7.566821e-05,-0.0001891705,-7.081032e-05
1.39,-8.246655e-05,-0.0002061664,0.004791737
1.4,-7.603593e-05,-0.0001900898,-7.081032e-05
1.41,-7.735311e-05,-0.0001933828,-7.081032e-05
1.42,-5.249956e-05,-0.0001312489,0.004791737
1.43,-3.620078e-05,-9.050194e-05,-7.081032e-05
1.44,-3.546184e-05,-8.865459e-05,0.004791737
1.45,-1.307528e-05,-3.26882e-05,0.004791737
1.46,1.97621e-05,4.940524e-05,0.004791737
1.47,3.275022e-05,8.187554e-05,0.004791737
1.48,5.763401e-05,0.000144085,-7.081032e-05
1.49,6.206438e-05,0.000155161,-7.081032e-05
1.5,8.039406e-05,0.0002009852,-7.081032e-05
1.51,0.0001149605,0.0002874013,-7.081032e-05
1.52,0.0001136758,0.0002841895,-7.081032e-05
1.53,0.0001284024,0.0003210061,-7.081032e-05
1.54,0.0001163809,0.0002909523,0.004791737
1.55,0.000131462,0.000328655,-7.081032e-05
1.56,9.928135e-05,0.0002482034,-7.081032e-05
1.57,0.0001156035,0.0002890087,-7.081032e-05
1.58,0.0001020464,0.0002551159,-7.081032e-05
1.59,5.872832e-05,0.0001468208,-7.081032e-05
1.6,8.492606e-05,0.0002123151,-7.081032e-05
1.61,4.124436e-05,0.0001031109,-7.081032e-05
1.62,4.912585e-05,0.0001228146,0.004791737
1.63,3.82914e-05,9.572849e-05,-7.081032e-05
1.64,5.216056e-05,0.0001304014,-7.081032e-05
1.65,6.632091e-05,0.0001658023,-7.081032e-05
1.66,5.822588e-05,0.0001455647,0.004791737
1.67,6.698907e-05,0.0001674727,-7.081032e-05
1.68,5.163837e-05,0.0001290959,0.004791737
1.69,6.351843e-05,0.0001587961,-7.081032e-05
1.7,3.744939e-05,9.362349e-05,-7.081032e-05
1.71,-5.432672e-06,-1.358168e-05,-7.081032e-05
1.72,-4.068271e-05,-0.0001017068,-7.081032e-05
1.73,-1.15893e-05,-2.897324e-05,-7.081032e-05
1.74,-2.964152e-05,-7.410379e-05,0.004791737
1.75,-1.638931e-05,-4.097328e-05,-7.081032e-05
1.76,-2.644693e-05,-6.611732e-05,0.004791737
1.77,-2.583454e-05,-6.458636e-05,0.004791737
1.78,-2.451008e-06,-6.12752e-06,-7.081032e-05
1.79,8.101879e-06,2.02547e-05,-7.081032e-05
1.8,-4.452068e-06,-1.113017e-05,-7.081032e-05
1.81,-1.780255e-05,-4.450636e-05,-7.081032e-05
1.82,-5.793188e-05,-0.0001448297,-7.081032e-05
1.83,-5.430576e-05,-0.0001357644,-7.081032e-05
1.84,-2.675871e-05,-6.689677e-05,-7.081032e-05
1.85,7.583916e-06,1.895979e-05,-7.081032e-05
1.86,8.346737e-06,2.086684e-05,-7.081032e-05
1.87,-2.470562e-05,-6.176405e-05,-7.081032e-05
1.88,-3.59079e-06,-8.976975e-06,-7.081032e-05
1.89,-2.313658e-05,-5.784146e-05,-7.081032e-05
1.9,-3.561408e-05,-8.903519e-05,-7.081032e-05
1.91,-5.292188e-05,-0.0001323047,-7.081032e-05
1.92,-6.451899e-05,-0.0001612975,-7.081032e-05
1.93,-5.184697e-05,-0.0001296174,-7.081032e-05
1.94,-6.306408e-05,-0.0001576602,-7.081032e-05
1.95,-7.366516e-05,-0.0001841629,-7.081032e-05
1.96,-6.309311e-05,-0.0001577328,-7.081032e-05
1.97,-3.305785e-05,-8.264462e-05,-7.081032e-05
1.98,-3.40212e-05,-8.5053e-05,-7.081032e-05
1.99,-3.451814e-05,-8.629535e-05,-7.081032e-05
2,-3.203364e-05,-8.008409e-05,0.004791737
2.01,-3.5694e-05,-8.923499e-05,0.004791737
2.02,-5.0029e-05,-0.0001250725,-7.081032e-05
2.03,-5.49167e-05,-0.0001372917,0.004791737
2.04,-6.61899e-05,-0.0001654747,-7.081032e-05
2.05,-3.677659e-05,-9.194148e-05,0.004791737
2.06,-4.145386e-05,-0.0001036346,0.004791737
2.07,-4.174952e-05,-0.0001043738,0.004791737
2.08,-2.901841e-05,-7.254603e-05,-7.081032e-05
2.09,-1.295943e-05,-3.239857e-05,0.004791737
2.1,-8.620472e-06,-2.155118e-05,-7.081032e-05
2.11,-2.521512e-05,-6.303781e-05,-7.081032e-05
2.12,-1.593812e-05,-3.984531e-05,-7.081032e-05
2.13,-1.924102e-05,-4.810255e-05,-7.081032e-05
2.14,-1.027399e-05,-2.568496e-05,-7.081032e-05
2.15,-2.300972e-05,-5.752429e-05,0.004791737
2.16,-2.979784e-05,-7.44946e-05,-7.081032e-05
2.17,-8.227391e-06,-2.056848e-05,-7.081032e-05
2.18,-1.953308e-05,-4.883271e-05,-7.081032e-05
2.19,-4.442711e-05,-0.0001110678,-7.081032e-05
2.2,-8.532905e-05,-0.0002133226,0.004791737
2.21,-7.469064e-05,-0.0001867266,-7.081032e-05
2.22,-0.0001008223,-0.0002520556,-7.081032e-05
2.23,-8.406046e-05,-0.0002101511,-7.081032e-05
2.24,-7.507498e-05,-0.0001876875,-7.081032e-05
2.25,-9.623852e-05,-0.0002405963,-7.081032e-05
2.26,-0.0001231911,-0.0003079778,-7.081032e-05
2.27,-0.0001454647,-0.0003636618,0.004791737
2.28,-0.0001233007,-0.0003082517,-7.081032e-05
2.29,-0.00012844,-0.0003211,-7.081032e-05
2.3,-0.0001184274,-0.0002960686,-7.081032e-05
2.31,-0.0001290734,-0.0003226834,-7.081032e-05
2.32,-0.0001268769,-0.0003171923,-7.081032e-05
2.33,-0.0001170648,-0.0002926621,-7.081032e-05
2.34,-9.12407e-05,-0.0002281017,-7.081032e-05
2.35,-9.564202e-05,-0.000239105,0.004791737
2.36,-9.812028e-05,-0.0002453007,0.004791737
2.37,-0.0001132932,-0.0002832331,0.004791737
2.38,-9.363979e-05,-0.0002340995,0.004791737
2.39,-7.415236e-05,-0.0001853809,0.004791737
2.4,-7.580914e-05,-0.0001895228,-7.081032e-05
2.41,-8.497352e-05,-0.0002124338,0.004791737
2.42,-0.0001025601,-0.0002564002,0.004791737
2.43,-5.553964e-05,-0.0001388491,-7.081032e-05
2.44,-5.24278e-05,-0.0001310695,0.004791737
2.45,-5.455902e-05,-0.0001363975,0.004791737
2.46,-5.028912e-05,-0.0001257228,0.004791737
2.47,-1.40491e-05,-3.512275e-05,-7.081032e-05
2.48,1.408511e-05,3.521278e-05,0.004791737
2.49,-3.453032e-05,-8.63258e-05,-7.081032e-05
2.5,-8.114089e-05,-0.0002028522,-7.081032e-05
2.51,-7.578965e-05,-0.0001894741,-7.081032e-05
2.52,-7.34085e-05,-0.0001835212,-7.081032e-05
2.53,-5.693158e-05,-0.000142329,-7.081032e-05
2.54,-6.23703e-06,-1.559257e-05,-7.081032e-05
2.55,1.697751e-05,4.244378e-05,-7.081032e-05
2.56,1.051321e-05,2.628302e-05,0.004791737
2.57,2.769537e-05,6.923843e-05,-7.081032e-05
2.58,5.142616e-05,0.0001285654,-7.081032e-05
2.59,6.527396e-05,0.0001631849,-7.081032e-05
2.6,6.463545e-05,0.0001615886,-7.081032e-05
2.61,4.965684e-05,0.0001241421,-7.081032e-05
2.62,3.032351e-05,7.580878e-05,-7.081032e-05
2.63,1.402972e-05,3.507431e-05,-7.081032e-05
2.64,-3.711219e-06,-9.278046e-06,-7.081032e-05
2.65,-3.322362e-06,-8.305906e-06,0.004791737
2.66,-1.806662e-05,-4.516655e-05,0.004791737
2.67,-8.870374e-06,-2.217593e-05,-7.081032e-05
2.68,-4.197461e-06,-1.049365e-05,-7.081032e-05
2.69,-1.667334e-05,-4.168335e-05,-7.081032e-05
2.7,-7.948886e-06,-1.987222e-05,0.004791737
2.71,-7.181876e-06,-1.795469e-05,0.004791737
2.72,-3.768099e-05,-9.420249e-05,-7.081032e-05
2.73,-7.762314e-05,-0.0001940579,-7.081032e-05
2.74,-9.454865e-05,-0.0002363716,-7.081032e-05
2.75,-9.521289e-05,-0.0002380322,0.004791737
2.76,-9.672892e-05,-0.0002418223,0.004791737
2.77,-6.697275e-05,-0.0001674319,-7.081032e-05
2.78,-4.95279e-05,-0.0001238197,-7.081032e-05
2.79,-3.563269e-06,-8.908173e-06,0.004791737
2.8,-7.342322e-06,-1.83558e-05,-7.081032e-05
2.81,-1.087719e-05,-2.719297e-05,-7.081032e-05
2.82,-1.529064e-05,-3.822659e-05,-7.081032e-05
2.83,-4.34853e-05,-0.0001087132,-7.081032e-05
2.84,-7.148029e-05,-0.0001787007,0.004791737
2.85,-7.1766e-05,-0.000179415,-7.081032e-05
2.86,-9.006976e-05,-0.0002251744,0.004791737
2.87,-9.381222e-05,-0.0002345305,0.004791737
2.88,-7.212406e-05,-0.0001803102,0.004791737
2.89,-4.619751e-05,-0.0001154938,-7.081032e-05
2.9,-4.79569e-05,-0.0001198922,-7.081032e-05
2.91,-4.802708e-05,-0.0001200677,-7.081032e-05
2.92,-6.167823e-05,-0.0001541956,-7.081032e-05
2.93,-6.607475e-05,-0.0001651869,-7.081032e-05
