t,u,theta,phi
0,0,0,0
0.01,0,8.366117e-05,-1.430511e-06
0.02,0,2.17476e-05,-1.430511e-06
0.03,0,2.344096e-05,-1.430511e-06
0.04,0,-2.517501e-06,-1.430511e-06
0.05,0,3.581447e-05,-1.430511e-06
0.06,0,-1.062408e-06,-1.430511e-06
0.07,0,5.959495e-05,-1.430511e-06
0.08,0,9.094187e-05,-1.430511e-06
0.09,0,6.951281e-05,-1.430511e-06
0.1,0,5.559632e-06,-1.430511e-06
0.11,0,3.24631e-05,-1.430511e-06
0.12,0,0.0001231484,-1.430511e-06
0.13,0,0.0001040178,-1.430511e-06
0.14,0,2.582971e-05,-1.430511e-06
0.15,0,2.92701e-05,-1.430511e-06
0.16,0,9.335412e-06,-1.430511e-06
0.17,0,2.241691e-05,-1.430511e-06
0.18,0,4.624934e-05,-1.430511e-06
0.19,0,6.907037e-05,-1.430511e-06
0.2,0,3.694333e-05,-1.430511e-06
0.21,0,4.297594e-05,-1.430511e-06
0.22,0,3.146501e-05,-1.430511e-06
0.23,0,2.365537e-05,-1.430511e-06
0.24,0,5.492676e-05,-1.430511e-06
0.25,0,8.646153e-05,-1.430511e-06
0.26,0,3.51163e-05,-1.430511e-06
0.27,0,1.832923e-05,-1.430511e-06
0.28,0,-7.060121e-05,-1.430511e-06
0.29,0,-4.914755e-05,-1.430511e-06
0.3,0,-4.309553e-05,-1.430511e-06
0.31,0,-4.897763e-05,-1.430511e-06
0.32,0,-6.954969e-05,-1.430511e-06
0.33,0,-8.465948e-05,-1.430511e-06
0.34,0,-9.082201e-05,-1.430511e-06
0.35,0,-9.491435e-05,-1.430511e-06
0.36,0,-9.858373e-05,-1.430511e-06
0.37,0,-8.92168e-05,-1.430511e-06
0.38,0,-2.345224e-05,-1.430511e-06
0.39,0,-5.74076e-05,-1.430511e-06
0.4,0,-4.336481e-05,-1.430511e-06
0.41,0,-4.708926e-05,-1.430511e-06
0.42,0,-0.0001103361,-1.430511e-06
0.43,0,-0.0001670535,-1.430511e-06
0.44,0,-0.0001085231,-1.430511e-06
0.45,0,-0.0001557403,-1.430511e-06
0.46,0,-0.0002093749,-1.430511e-06
0.47,0,-0.0002077095,-1.430511e-06
0.48,0,-0.0001834525,-1.430511e-06
0.49,0,-0.0001563528,-1.430511e-06
0.5,0,-0.0002232705,-1.430511e-06
0.51,0,-0.0002046166,-1.430511e-06
0.52,0,-0.0002179349,-1.430511e-06
0.53,0,-0.0001503437,-1.430511e-06
0.54,0,-9.4713e-05,-1.430511e-06
0.55,0,-0.000105422,-1.430511e-06
0.56,0,-9.119853e-05,-1.430511e-06
0.57,0,-0.0001386886,-1.430511e-06
0.58,0,-0.0001473885,-1.430511e-06
0.59,0,-9.626132e-05,-1.430511e-06
0.6,0,-0.0001054981,-1.430511e-06
