t,u,theta,phi
0,0,0,0
0.01,-2.185886e-05,-3.643143e-05,0
0.02,1.718041e-05,4.346402e-06,0
0.03,-4.024643e-05,-3.989216e-05,0
0.04,-5.165936e-05,-0.0001398789,0
0.05,-6.648948e-05,-0.0001502884,0
0.06,-3.302663e-05,-0.0001157641,0
0.07,-4.495031e-05,-9.137354e-05,0
0.08,-5.878096e-05,-0.0001424276,0
0.09,-9.565258e-05,-0.0002099134,0
0.1,-5.652082e-05,-0.0001836512,0
0.11,-8.715147e-05,-0.0001782367,0
0.12,-4.607111e-05,-0.0001626254,0
0.13,-9.140663e-05,-0.0001749211,0
0.14,-7.048172e-05,-0.0002115069,0
0.15,-9.896063e-05,-0.0002119016,0
0.16,-0.0001154267,-0.0002866784,0
0.17,-0.0001101644,-0.0002804257,0
0.18,-0.0001062854,-0.0002672744,0
0.19,-0.0001143418,-0.0002786206,0
0.2,-9.137655e-05,-0.0002499905,0
0.21,-8.461668e-05,-0.0002099919,0
0.22,-9.822573e-05,-0.00023474,0
0.23,-6.250645e-05,-0.0001896403,0
0.24,-0.0001438668,-0.000280742,0
0.25,-7.416868e-05,-0.0002698118,0
0.26,-0.0001646908,-0.000308162,0
0.27,-0.0001029045,-0.0003432715,0
0.28,-0.0001340721,-0.000280537,0
0.29,-0.0001011946,-0.0002985988,0
0.3,-0.0001290631,-0.00028423,0
0.31,-8.394729e-05,-0.000260274,0
0.32,-0.0001180657,-0.0002499303,0
0.33,-0.0001068791,-0.0002915979,0
0.34,-0.0001123055,-0.0002681083,0
0.35,-0.0001194035,-0.0002968121,0
0.36,-0.0001139153,-0.0002899273,0
0.37,-9.617293e-05,-0.0002535047,0
0.38,-0.0001284729,-0.0002899081,0
0.39,-0.0001192011,-0.0003161539,0
0.4,-0.0001799302,-0.0003931675,0
0.41,-0.0001480451,-0.0004155696,0
0.42,-0.0001623137,-0.0003787414,0
0.43,-0.0001829881,-0.0004492559,0
0.44,-0.0001770858,-0.0004503712,0
0.45,-0.0001539063,-0.0004015298,0
0.46,-0.0001403463,-0.0003565779,0
0.47,-0.000101176,-0.0002836779,0
0.48,-0.0001087385,-0.0002552981,0
0.49,-0.0001205745,-0.0002970889,0
0.5,-0.0001692932,-0.0003840833,0
0.51,-0.0001237977,-0.0003604572,0
0.52,-0.0001191437,-0.00028475,0
0.53,-4.969835e-05,-0.0001864868,0
0.54,-8.690425e-05,-0.0001655087,0
0.55,-6.153279e-05,-0.0001922255,0
0.56,-0.0001035502,-0.0002110631,0
0.57,-4.933084e-05,-0.0001844473,0
0.58,-7.693037e-05,-0.0001489529,0
0.59,6.587083e-06,-6.758785e-05,0
0.6,-5.17424e-05,-5.272958e-05,0
0.61,-3.12363e-05,-0.0001207213,0
0.62,-8.681895e-05,-0.0001565183,0
0.63,-8.306743e-05,-0.0002309712,0
0.64,-5.11554e-05,-0.0001467143,0
0.65,-6.613747e-05,-0.0001465833,0
0.66,-3.345671e-05,-0.0001171292,0
