t,u,theta,phi
1.03,0.0001737655,0.0002172069,0.0002653599
1.04,0.0002248148,0.0002810185,0.0002653599
1.05,0.0002604575,0.0003255718,0.0002653599
1.06,0.0003158696,0.000394837,0.0002653599
1.07,0.0003298677,0.0004123346,0.0002653599
1.08,0.0003416679,0.0004270849,0.0002653599
1.09,0.0003244539,0.0004055673,0.0002653599
1.1,0.0003525338,0.0004406672,0.0002653599
1.11,0.0003637052,0.0004546315,0.0002653599
1.12,0.0003768888,0.000471111,0.0002653599
1.13,0.0004177583,0.0005221979,0.0002653599
1.14,0.0004278306,0.0005347883,0.0002653599
1.15,0.0004378826,0.0005473532,0.0002653599
1.16,0.0004775098,0.0005968873,0.0002653599
1.17,0.0003931384,0.000491423,0.0002653599
1.18,0.0003490181,0.0004362726,0.0002653599
1.19,0.000321495,0.0004018687,0.0002653599
1.2,0.0003361816,0.000420227,0.0002653599
1.21,0.0003581351,0.0004476689,0.0002653599
1.22,0.0003495786,0.0004369733,0.0002653599
1.23,0.0003516683,0.0004395854,0.0002653599
1.24,0.0003003884,0.0003754855,0.0002653599
1.25,0.0003239988,0.0004049985,0.0002653599
1.26,0.0002705345,0.0003381682,0.0002653599
1.27,0.0002737746,0.0003422182,0.0002653599
1.28,0.0002506021,0.0003132527,0.0002653599
1.29,0.0001988041,0.0002485051,0.0002653599
1.3,0.0002430724,0.0003038406,0.0002653599
1.31,0.0002122743,0.0002653429,0.0002653599
1.32,0.0002341603,0.0002927004,0.0002653599
1.33,0.000251383,0.0003142287,0.0002653599
1.34,0.000234801,0.0002935012,0.0002653599
1.35,0.0002344154,0.0002930192,0.0002653599
1.36,0.0002168694,0.0002710868,0.0002653599
1.37,0.0002255687,0.0002819608,0.0002653599
1.38,0.0002358141,0.0002947676,0.0002653599
1.39,0.0002537451,0.0003171814,0.0002653599
1.4,0.000278627,0.0003482838,0.0002653599
1.41,0.0002609468,0.0003261835,0.0002653599
1.42,0.0002713843,0.0003392303,0.0002653599
1.43,0.000274028,0.0003425349,0.0002653599
1.44,0.0003237157,0.0004046446,0.0002653599
1.45,0.000298756,0.000373445,0.0002653599
1.46,0.0003006135,0.0003757669,0.0002653599
1.47,0.0002828209,0.0003535261,0.0002653599
1.48,0.0002854147,0.0003567684,0.0002653599
1.49,0.0003488556,0.0004360695,0.0002653599
1.5,0.0003411774,0.0004264717,0.0002653599
1.51,0.0003278186,0.0004097733,0.0002653599
1.52,0.0002477233,0.0003096542,0.0002653599
1.53,0.0001997981,0.0002497476,0.0002653599
1.54,0.0002584735,0.0003230919,0.0002653599
1.55,0.0002811539,0.0003514424,0.0002653599
1.56,0.0003009016,0.000376127,0.0002653599
1.57,0.0002527635,0.0003159544,0.0002653599
1.58,0.0002200902,0.0002751127,0.0002653599
1.59,0.0002498516,0.0003123145,0.0002653599
1.6,0.0002309654,0.0002887067,0.0002653599
1.61,0.0002191424,0.000273928,0.0002653599
1.62,0.0001714529,0.0002143162,0.0002653599
1.63,0.000123726,0.0001546575,0.0002653599
1.64,4.79186e-05,5.989825e-05,0.0002653599
1.65,5.694682e-05,7.118353e-05,0.0002653599
1.66,8.761216e-05,0.0001095152,0.0002653599
1.67,0.0001134835,0.0001418543,0.0002653599
1.68,9.899264e-05,0.0001237408,0.0002653599
1.69,0.0001082942,0.0001353678,0.0002653599
1.7,0.0001427226,0.0001784032,0.0002653599
1.71,0.0002201881,0.0002752351,0.0002653599
1.72,0.000257963,0.0003224537,0.0002653599
1.73,0.000219617,0.0002745213,0.0002653599
1.74,0.000166964,0.000208705,0.0002653599
1.75,0.0002000445,0.0002500556,0.0002653599
1.76,0.0002279532,0.0002849415,0.0002653599
