t,u,theta,phi
0,0,0,0
0.01,-3.505426e-05,-5.842377e-05,-9.536743e-07
0.02,6.289217e-06,1.048203e-05,-9.536743e-07
0.03,2.700708e-05,4.50118e-05,-9.536743e-07
0.04,-1.793629e-06,-2.989382e-06,-9.536743e-07
0.05,2.674829e-06,4.458048e-06,-9.536743e-07
0.06,1.166997e-05,1.944995e-05,-9.536743e-07
0.07,3.058965e-05,5.098274e-05,-9.536743e-07
0.08,3.742172e-05,6.236952e-05,-9.536743e-07
0.09,4.386959e-05,7.311597e-05,-9.536743e-07
0.1,0.000106649,0.0001777483,-9.536743e-07
0.11,0.0001125499,0.0001875832,-9.536743e-07
0.12,9.011665e-05,0.0001501944,-9.536743e-07
0.13,6.723671e-05,0.0001120612,-9.536743e-07
0.14,5.363367e-05,8.938945e-05,-9.536743e-07
0.15,3.004396e-05,5.007327e-05,-9.536743e-07
0.16,-2.182036e-06,-3.636727e-06,-9.536743e-07
0.17,1.852159e-05,3.086931e-05,-9.536743e-07
0.18,5.97621e-06,9.960349e-06,-9.536743e-07
0.19,-1.924087e-05,-3.206811e-05,-9.536743e-07
0.2,5.518126e-06,9.196876e-06,-9.536743e-07
0.21,1.309149e-05,2.181916e-05,-9.536743e-07
0.22,5.343473e-05,8.905788e-05,-9.536743e-07
0.23,4.816657e-06,8.02776e-06,-9.536743e-07
0.24,3.407396e-05,5.678993e-05,-9.536743e-07
0.25,5.241826e-05,8.736376e-05,-9.536743e-07
0.26,8.947912e-05,0.0001491319,-9.536743e-07
0.27,7.658012e-05,0.0001276335,-9.536743e-07
0.28,2.831308e-05,4.718847e-05,-9.536743e-07
0.29,2.169401e-05,3.615668e-05,-9.536743e-07
0.3,9.481049e-06,1.580175e-05,-9.536743e-07
0.31,1.406333e-05,2.343888e-05,-9.536743e-07
0.32,-1.716291e-05,-2.860484e-05,0.004861355
0.33,1.140731e-06,1.901219e-06,-9.536743e-07
0.34,2.509312e-05,4.182187e-05,-9.536743e-07
0.35,4.519307e-05,7.532178e-05,-9.536743e-07
0.36,3.963033e-05,6.605055e-05,-9.536743e-07
0.37,4.196943e-05,6.994905e-05,-9.536743e-07
0.38,4.845025e-05,8.075041e-05,-9.536743e-07
0.39,0.0001185618,0.000197603,-9.536743e-07
0.4,0.0001138961,0.0001898268,-9.536743e-07
0.41,7.67767e-05,0.0001279612,-9.536743e-07
0.42,3.317613e-05,5.529355e-05,-9.536743e-07
0.43,2.486155e-05,4.143592e-05,-9.536743e-07
0.44,3.584403e-05,5.974005e-05,-9.536743e-07
0.45,2.614145e-05,4.356908e-05,-9.536743e-07
0.46,4.203451e-05,7.005751e-05,-9.536743e-07
0.47,3.633535e-05,6.055892e-05,-9.536743e-07
0.48,1.64052e-05,2.7342e-05,-9.536743e-07
0.49,2.677135e-05,4.461892e-05,-9.536743e-07
0.5,7.194616e-06,1.199103e-05,-9.536743e-07
0.51,2.804182e-05,4.673637e-05,-9.536743e-07
0.52,-5.093107e-06,-8.488511e-06,-9.536743e-07
0.53,4.147555e-06,6.912591e-06,-9.536743e-07
0.54,1.044028e-05,1.740046e-05,-9.536743e-07
0.55,3.098518e-05,5.164196e-05,-9.536743e-07
0.56,4.51438e-05,7.523967e-05,-9.536743e-07
0.57,8.500787e-06,1.416798e-05,-9.536743e-07
0.58,-4.66153e-06,-7.769217e-06,-9.536743e-07
0.59,-5.15246e-05,-8.587432e-05,-9.536743e-07
0.6,-7.198747e-05,-0.0001199791,-9.536743e-07
0.61,-0.0001497928,-0.0002496547,-9.536743e-07
0.62,-0.0001630543,-0.0002717571,-9.536743e-07
0.63,-0.0001774349,-0.0002957248,-9.536743e-07
0.64,-0.0001645497,-0.0002742495,-9.536743e-07
0.65,-0.0001431855,-0.0002386425,0.004861355
0.66,-0.0001167397,-0.0001945661,-9.536743e-07
0.67,-6.425452e-05,-0.0001070909,-9.536743e-07
0.68,-6.169733e-05,-0.0001028289,-9.536743e-07
0.69,-6.098769e-05,-0.0001016461,-9.536743e-07
0.7,-8.103881e-05,-0.0001350647,-9.536743e-07
0.71,-0.0001036677,-0.0001727795,-9.536743e-07
0.72,-0.0001316097,-0.0002193496,-9.536743e-07
0.73,-0.0001760491,-0.0002934152,-9.536743e-07
0.74,-0.0002049614,-0.0003416023,-9.536743e-07
0.75,-0.0002072056,-0.0003453426,0.004861355
0.76,-0.0001963413,-0.0003272355,-9.536743e-07
0.77,-0.0002282219,-0.0003803699,-9.536743e-07
0.78,-0.0001934295,-0.0003223825,-9.536743e-07
0.79,-0.0002552284,-0.0004253806,-9.536743e-07
0.8,-0.0002853302,-0.0004755504,-9.536743e-07
0.81,-0.0002289682,-0.0003816136,-9.536743e-07
0.82,-0.000179068,-0.0002984466,-9.536743e-07
0.83,-0.0002030778,-0.000338463,-9.536743e-07
0.84,-0.0002190445,-0.0003650742,-9.536743e-07
0.85,-0.0002914486,-0.0004857476,-9.536743e-07
0.86,-0.0003694994,-0.0006158322,-9.536743e-07
0.87,-0.0003668818,-0.0006114696,0.004861355
0.88,-0.0003895689,-0.0006492815,-9.536743e-07
0.89,-0.0003434025,-0.0005723374,-9.536743e-07
0.9,-0.0003519072,-0.000586512,-9.536743e-07
0.91,-0.0003899887,-0.0006499811,-9.536743e-07
0.92,-0.0004002697,-0.0006671162,-9.536743e-07
0.93,-0.0003612003,-0.0006020005,-9.536743e-07
0.94,-0.0003607864,-0.0006013107,-9.536743e-07
0.95,-0.0003304506,-0.000550751,-9.536743e-07
0.96,-0.0003176358,-0.0005293929,-9.536743e-07
0.97,-0.0003494439,-0.0005824064,-9.536743e-07
