t,u,theta,phi
0,0,0,0
0.01,0,0.0005412115,0.002332926
0.02,0,3.966893e-05,-0.002529383
0.03,0,-0.0008383656,0.002332926
0.04,0,0.0004595504,0.002332926
0.05,0,0.0007009872,0.002332926
0.06,0,-0.0001481852,0.002332926
0.07,0,0.000233489,0.002332926
0.08,0,0.0002392148,0.002332926
0.09,0,-0.0001910801,-0.002529383
0.1,0,0.0004807407,0.002332926
0.11,0,6.197908e-05,-0.002529383
0.12,0,-0.0005903241,0.002332926
0.13,0,0.0001035374,0.002332926
0.14,0,0.0003457021,0.002332926
0.15,0,0.0001843083,-0.002529383
0.16,0,0.0005629064,0.002332926
0.17,0,2.843296e-05,-0.002529383
0.18,0,-0.0005087585,0.002332926
0.19,0,0.0002403857,-0.002529383
0.2,0,0.0003333609,-0.002529383
0.21,0,3.59246e-05,0.002332926
0.22,0,0.0002874588,0.002332926
0.23,0,0.000179672,0.002332926
0.24,0,3.144043e-06,0.002332926
0.25,0,0.0002897845,0.002332926
0.26,0,-0.0001375335,0.002332926
0.27,0,-0.0003784335,-0.002529383
0.28,0,0.0001969688,0.002332926
0.29,0,0.0002554466,0.002332926
0.3,0,9.094388e-05,0.002332926
0.31,0,0.0002361022,0.002332926
0.32,0,-2.350967e-05,-0.002529383
0.33,0,-0.0002121787,-0.002529383
0.34,0,-9.077692e-05,0.002332926
0.35,0,-0.0002219539,-0.002529383
0.36,0,-0.0002807109,-0.00739193
0.37,0,6.644957e-05,-0.002529383
0.38,0,-0.0001102203,0.002332926
0.39,0,-0.0002392378,0.002332926
0.4,0,-8.390441e-05,-0.002529383
0.41,0,-0.00027251,0.002332926
0.42,0,-0.0002161669,-0.002529383
0.43,0,-4.677655e-06,0.002332926
0.44,0,-0.0001325091,0.002332926
0.45,0,-0.0003148311,-0.002529383
0.46,0,-0.0003043257,0.002332926
0.47,0,-0.0005382039,-0.002529383
0.48,0,-0.0004251712,0.002332926
0.49,0,-4.283435e-05,-0.002529383
0.5,0,-9.30039e-05,0.002332926
0.51,0,-0.000396098,0.002332926
0.52,0,-0.0002099648,0.002332926
0.53,0,-0.0004175232,0.002332926
0.54,0,-0.0006083043,-0.002529383
0.55,0,-0.0003070849,-0.002529383
0.56,0,-0.0004238993,0.002332926
0.57,0,-0.000638961,-0.002529383
0.58,0,-0.0004663785,-0.002529383
0.59,0,-0.0005734209,0.002332926
0.6,0,-0.0008136751,-0.002529383
0.61,0,-0.0006759303,0.002332926
