t,u,theta,phi
0,0,0,0
0.01,0,-2.475002e-05,-0.003723145
0.02,0,-2.240451e-05,-0.003723145
0.03,0,-3.008922e-05,0.001139164
0.04,0,-5.370475e-06,-0.003723145
0.05,0,5.740323e-05,0.001139164
0.06,0,-1.909898e-05,0.001139164
0.07,0,-5.65187e-05,-0.003723145
0.08,0,-0.0001489097,0.001139164
0.09,0,-0.0001350836,0.001139164
0.1,0,-0.0001371847,0.001139164
0.11,0,-0.0001145868,0.001139164
0.12,0,-3.403991e-05,0.001139164
0.13,0,-8.055084e-05,0.001139164
0.14,0,-0.0001327226,0.001139164
0.15,0,-9.279155e-05,0.001139164
0.16,0,-2.600679e-05,-0.003723145
0.17,0,-5.046844e-05,0.001139164
0.18,0,-0.0001161167,-0.003723145
0.19,0,-0.0001530373,-0.003723145
0.2,0,-0.0001840812,0.001139164
0.21,0,-0.0001721604,-0.003723145
0.22,0,-0.000246767,0.001139164
0.23,0,-0.0002100834,-0.003723145
0.24,0,-0.0001918374,0.001139164
0.25,0,-0.0001576641,0.001139164
0.26,0,-0.0001712682,-0.003723145
0.27,0,-0.0001380487,0.001139164
0.28,0,-0.0001695901,0.001139164
0.29,0,-0.0002192968,-0.003723145
0.3,0,-0.0002033604,-0.003723145
0.31,0,-0.0002022364,-0.003723145
0.32,0,-0.0001186344,-0.003723145
0.33,0,-6.745764e-05,0.001139164
0.34,0,-8.630782e-05,-0.003723145
0.35,0,-4.802453e-05,0.001139164
0.36,0,-2.762568e-05,0.001139164
0.37,0,5.158432e-05,0.001139164
0.38,0,3.080793e-06,0.001139164
0.39,0,-5.750114e-07,0.001139164
0.4,0,3.276886e-05,-0.003723145
0.41,0,-8.644181e-06,0.001139164
0.42,0,-1.416395e-05,-0.003723145
0.43,0,-3.171957e-05,0.001139164
0.44,0,-5.103195e-05,0.001139164
0.45,0,-5.008993e-05,0.001139164
0.46,0,-8.61036e-05,0.001139164
0.47,0,-7.196623e-05,0.001139164
0.48,0,-3.641402e-05,0.001139164
0.49,0,-0.0001883225,0.001139164
0.5,0,-0.000154055,-0.003723145
0.51,0,-0.0001795419,-0.003723145
0.52,0,-0.0001747445,0.001139164
0.53,0,-0.0001556482,0.001139164
0.54,0,-0.0001719039,0.001139164
0.55,0,-0.000150814,0.001139164
0.56,0,-0.0001298959,0.001139164
0.57,0,-0.0001760298,0.001139164
0.58,0,-0.0001886642,0.001139164
0.59,0,-0.0002061642,0.001139164
0.6,0,-0.0002674113,0.001139164
0.61,0,-0.0002426765,0.001139164
0.62,0,-0.0002312093,0.001139164
0.63,0,-0.0001958166,0.001139164
0.64,0,-0.0002182062,-0.003723145
0.65,0,-0.0001952744,0.001139164
0.66,0,-0.0001852221,0.001139164
0.67,0,-0.0001754785,0.001139164
0.68,0,-0.0001954969,-0.003723145
0.69,0,-0.0001335543,0.001139164
0.7,0,-0.0001382796,0.001139164
0.71,0,-0.0001598608,-0.003723145
0.72,0,-0.0001579133,-0.003723145
0.73,0,-0.000217722,0.001139164
0.74,0,-0.0002975636,-0.003723145
0.75,0,-0.0002501881,0.001139164
0.76,0,-0.0002219878,0.001139164
0.77,0,-0.0002754047,0.001139164
0.78,0,-0.000299879,-0.003723145
0.79,0,-0.0002383477,-0.003723145
0.8,0,-0.0002203871,-0.003723145
0.81,0,-0.0001830241,-0.003723145
0.82,0,-0.0002126649,0.001139164
0.83,0,-0.0002315677,0.001139164
0.84,0,-0.0002520582,-0.003723145
0.85,0,-0.0002897565,0.001139164
0.86,0,-0.0002676159,0.001139164
0.87,0,-0.0001914778,0.001139164
0.88,0,-0.0001989497,0.001139164
0.89,0,-0.0001421025,0.001139164
0.9,0,-0.000138816,0.001139164
0.91,0,-0.0001573495,0.001139164
0.92,0,-0.0001458494,0.001139164
0.93,0,-0.000146936,0.001139164
0.94,0,-0.0001387367,0.001139164
0.95,0,-6.686713e-05,0.001139164
0.96,0,-3.848397e-05,0.001139164
0.97,0,-1.577852e-05,0.001139164
0.98,0,-1.333716e-05,0.001139164
0.99,0,-2.867352e-05,0.001139164
1,0,-7.320978e-05,0.001139164
1.01,-0.5236,-0.0001637083,0.001139164
1.02,-0.5236,-0.0002339671,0.001139164
1.03,-0.5236,-0.00220441,-0.003723145
1.04,-0.5236,-0.01526305,-0.008585691
1.05,-0.5236,-0.02597519,-0.02317286
1.06,-0.5236,-0.01896171,-0.03775978
1.07,-0.5236,0.004329634,-0.05234718
1.08,-0.5236,0.01747635,-0.07665896
1.09,-0.5236,0.02025332,-0.0961082
1.1,-0.5236,0.03515963,-0.12042
1.11,-0.5236,0.06432945,-0.1495943
1.12,-0.5236,0.07844407,-0.1787684
1.13,-0.5236,0.08791737,-0.2079427
1.14,-0.5236,0.1143125,-0.2322545
1.15,-0.5236,0.1424519,-0.2614286
1.16,-0.5236,0.152636,-0.2906029
1.17,-0.5236,0.1614392,-0.319777
