t,u,theta,phi
0,0,0,0
0.01,0,7.043588e-05,-0.0002725124
0.02,0,4.841459e-05,0.004590034
0.03,0,-5.281508e-05,-0.0002725124
0.04,0,-6.188065e-05,-0.0002725124
0.05,0,8.168322e-05,-0.0002725124
0.06,0,-1.264155e-05,-0.0002725124
0.07,0,-5.729124e-05,-0.0002725124
0.08,0,-5.846226e-05,-0.0002725124
0.09,0,-8.207116e-05,-0.0002725124
0.1,0,-9.244046e-05,-0.0002725124
0.11,0,-7.561876e-05,-0.0002725124
0.12,0,-0.0001605033,-0.0002725124
0.13,0,-0.0002177914,-0.0002725124
0.14,0,-0.0002731638,-0.0002725124
0.15,0,-0.0002045224,-0.0002725124
0.16,0,-0.0001968601,-0.0002725124
0.17,0,-0.0002603249,-0.0002725124
0.18,0,-0.0002484467,0.004590034
0.19,0,-0.0002144242,-0.0002725124
0.2,0,-0.0001718451,-0.0002725124
0.21,0,-0.0001496598,-0.0002725124
0.22,0,-0.0001923962,-0.0002725124
0.23,0,-0.0002437527,-0.0002725124
0.24,0,-0.0002614441,-0.0002725124
0.25,0,-0.0003133139,-0.0002725124
0.26,0,-0.0003637393,0.004590034
0.27,0,-0.000380794,-0.0002725124
0.28,0,-0.0004608429,-0.0002725124
0.29,0,-0.0004204546,-0.0002725124
0.3,0,-0.0004037559,-0.0002725124
0.31,0,-0.0003971226,0.004590034
0.32,0,-0.000412771,0.004590034
0.33,0,-0.0004358579,-0.0002725124
0.34,0,-0.0004039852,0.004590034
0.35,0,-0.0004147216,-0.0002725124
0.36,0,-0.0003778886,-0.005134821
0.37,0,-0.0004092148,-0.0002725124
0.38,0,-0.0004293815,-0.0002725124
0.39,0,-0.0004367177,-0.0002725124
0.4,0,-0.0003927542,-0.0002725124
0.41,0,-0.0002608148,-0.0002725124
0.42,0,-0.0003030545,-0.0002725124
0.43,0,-0.0002357595,0.004590034
0.44,0,-0.0002688328,-0.0002725124
0.45,0,-0.0002883165,-0.0002725124
0.46,0,-0.0002950831,-0.0002725124
0.47,0,-0.0002420493,0.004590034
0.48,0,-0.0001980899,-0.0002725124
0.49,0,-0.000180675,-0.0002725124
0.5,0,-8.024179e-05,-0.0002725124
0.51,0,-9.805708e-05,-0.0002725124
0.52,0,-0.000142293,-0.0002725124
0.53,0,-7.466643e-05,-0.0002725124
0.54,0,-2.082951e-05,-0.0002725124
0.55,0,5.303076e-05,-0.0002725124
0.56,0,5.074422e-05,-0.0002725124
0.57,0,9.535467e-05,-0.0002725124
0.58,0,0.0001287465,-0.0002725124
0.59,0,4.989903e-05,0.004590034
0.6,0,8.056434e-05,-0.0002725124
0.61,0,5.535963e-05,0.004590034
0.62,0,5.042822e-05,-0.0002725124
0.63,0,8.299707e-05,-0.0002725124
0.64,0,6.326392e-05,-0.0002725124
0.65,0,9.51016e-05,-0.0002725124
0.66,0,0.0001452526,-0.0002725124
0.67,0,0.0001181411,-0.0002725124
0.68,0,0.0001013497,-0.0002725124
0.69,0,0.0001473503,-0.0002725124
0.7,0,0.0002504148,-0.0002725124
0.71,0,0.0002547821,-0.0002725124
0.72,0,0.0002364849,-0.0002725124
0.73,0,0.0002361054,-0.0002725124
0.74,0,0.0002456512,-0.0002725124
0.75,0,0.000264953,-0.0002725124
0.76,0,0.0002836456,-0.0002725124
0.77,0,0.0002053972,-0.0002725124
0.78,0,0.0001400552,-0.0002725124
0.79,0,0.0001628129,-0.0002725124
0.8,0,0.0001789145,-0.0002725124
0.81,0,0.0001680465,-0.0002725124
0.82,0,9.94243e-05,-0.0002725124
0.83,0,8.061845e-05,-0.0002725124
0.84,0,6.534101e-05,-0.0002725124
0.85,0,-6.535098e-05,-0.0002725124
0.86,0,-5.632575e-05,-0.0002725124
0.87,0,-0.0001222149,-0.0002725124
0.88,0,-0.0001535847,-0.0002725124
0.89,0,-0.0001297719,-0.0002725124
0.9,0,-0.000136525,-0.0002725124
0.91,0,-0.0001069167,-0.0002725124
0.92,0,-0.0001363542,-0.0002725124
0.93,0,-0.0001377269,-0.0002725124
0.94,0,-0.0001937934,-0.0002725124
0.95,0,-0.0001982661,-0.0002725124
0.96,0,-0.000172732,-0.0002725124
0.97,0,-0.0001678688,-0.0002725124
0.98,0,-0.0001093139,-0.0002725124
