t,u,theta,phi
0,0,0,0
0.01,0,-3.223849e-05,0.0005133152
0.02,0,4.509452e-05,-0.004349232
0.03,0,7.384697e-05,0.005375385
0.04,0,1.046697e-06,0.0005133152
0.05,0,1.90677e-05,0.0005133152
0.06,0,-8.186806e-06,-0.004349232
0.07,0,-7.025145e-05,0.0005133152
0.08,0,6.22092e-05,0.0005133152
0.09,0,0.000104905,-0.004349232
0.1,0,0.0001046128,-0.004349232
0.11,0,0.000157861,0.0005133152
0.12,0,0.0001845126,0.0005133152
0.13,0,0.0002494658,-0.004349232
0.14,0,0.0002230172,-0.004349232
0.15,0,0.0002491647,-0.004349232
0.16,0,0.0001900473,0.0005133152
0.17,0,0.0001653651,0.0005133152
0.18,0,0.0002401028,0.0005133152
0.19,0,0.0001515353,0.0005133152
0.2,0,5.382011e-05,0.0005133152
0.21,0,8.346522e-05,0.0005133152
0.22,0,0.0002103276,0.0005133152
0.23,0,9.161881e-05,0.0005133152
0.24,0,5.879554e-05,0.0005133152
0.25,0,0.0001962206,0.0005133152
0.26,0,0.0001954375,0.0005133152
0.27,0,0.0001005015,-0.004349232
0.28,0,0.0001416668,-0.004349232
0.29,0,6.542886e-05,-0.004349232
0.3,0,2.736039e-05,0.0005133152
0.31,0,-4.428944e-05,-0.004349232
0.32,0,-3.610273e-05,-0.004349232
0.33,0,-2.750767e-05,0.005375385
0.34,0,5.174855e-05,0.005375385
0.35,0,4.957749e-05,0.0005133152
0.36,0,7.7837e-05,0.0005133152
0.37,0,-9.037725e-06,0.0005133152
0.38,0,2.243642e-05,-0.004349232
0.39,0,1.054715e-05,0.0005133152
0.4,0,-0.0001579758,0.005375385
0.41,0,-0.0001127838,0.0005133152
0.42,0,-0.0001551432,-0.004349232
0.43,0,-0.0002900666,-0.004349232
0.44,0,-0.0002851417,0.0005133152
0.45,0,-6.901241e-05,0.0005133152
0.46,0,1.593481e-05,0.0005133152
0.47,0,5.377301e-05,0.0005133152
0.48,0,0.0001942463,0.0005133152
0.49,0,0.000124788,0.0005133152
0.5,0,-0.0001298665,0.0005133152
0.51,0,-0.0001794939,-0.004349232
0.52,0,-0.0002052366,0.0005133152
0.53,0,-0.0002637269,0.0005133152
0.54,0,-0.00014463,0.0005133152
0.55,0,-8.493746e-05,0.0005133152
0.56,0,-0.0002536867,0.0005133152
0.57,0,-0.000250703,0.0005133152
0.58,0,-2.921774e-05,0.0005133152
0.59,0,-0.0001268542,0.0005133152
0.6,0,-6.94366e-05,0.0005133152
0.61,0,7.419381e-05,0.0005133152
0.62,0,3.738977e-05,0.0005133152
0.63,0,-6.441182e-05,0.005375385
0.64,0,-5.668475e-05,0.0005133152
0.65,0,-6.400826e-05,0.0005133152
0.66,0,-0.0001489973,0.005375385
0.67,0,-0.0001689273,-0.004349232
0.68,0,-1.805183e-05,0.0005133152
0.69,0,0.000144245,0.0005133152
0.7,0,6.988905e-05,0.0005133152
0.71,0,2.886495e-05,0.0005133152
0.72,0,-5.73764e-05,0.0005133152
0.73,0,-0.0001234049,0.005375385
0.74,0,-0.0002307183,0.0005133152
0.75,0,-0.0002454027,0.0005133152
0.76,0,-0.0002263495,0.0005133152
0.77,0,-0.0001606717,0.0005133152
0.78,0,-5.03894e-05,0.0005133152
0.79,0,-9.256604e-05,0.0005133152
0.8,0,-0.0001999762,0.0005133152
0.81,0,-0.0001778031,0.0005133152
0.82,0,-0.000116904,0.0005133152
0.83,0,-0.0001685271,0.0005133152
0.84,0,4.269181e-05,0.0005133152
0.85,0,0.0001123626,0.0005133152
0.86,0,2.826921e-06,0.0005133152
0.87,0,2.181605e-05,0.0005133152
0.88,0,-4.727743e-05,0.0005133152
0.89,0,-0.0002334971,0.0005133152
0.9,0,-0.000287237,0.0005133152
0.91,0,-0.0001243103,0.0005133152
0.92,0,-1.173871e-05,-0.004349232
0.93,0,4.540677e-05,0.0005133152
0.94,0,0.000165007,0.0005133152
0.95,0,0.0001766586,0.0005133152
0.96,0,-5.037917e-05,-0.004349232
0.97,0,-0.0001500778,0.0005133152
0.98,0,-0.0001985064,0.0005133152
0.99,0,-0.0002377809,0.0005133152
1,0,-0.0001763583,0.0005133152
1.01,0.5235988,-0.0002310711,0.0005133152
1.02,0.5235988,-0.0002547263,-0.004349232
1.03,0.5235988,0.001245177,-0.004349232
1.04,0.5235988,0.007285326,0.005375385
1.05,0.5235988,0.0202631,0.01510024
1.06,0.5235988,0.02256357,0.03454971
1.07,0.5235988,0.008582146,0.04913688
1.08,0.5235988,-0.006674013,0.06858635
1.09,0.5235988,-0.009667759,0.08803582
1.1,0.5235988,-0.01915539,0.1074853
1.11,0.5235988,-0.03763501,0.1366594
1.12,0.5235988,-0.06171666,0.1658337
1.13,0.5235988,-0.07777011,0.1950078
1.14,0.5235988,-0.09577157,0.2290444
1.15,0.5235988,-0.1200149,0.2630808
1.16,0.5235988,-0.1446435,0.2971175
1.17,0.5235988,-0.1690794,0.3311541
1.18,0.5235988,-0.1977488,0.3700531
1.19,0.5235988,-0.2202457,0.4040897
1.2,0.5235988,-0.2363568,0.4381261
1.21,0.5235988,-0.2589177,0.477025
1.22,0.5235988,-0.2907614,0.5013368
1.23,0.5235988,-0.3232164,0.5305109
1.24,0.5235988,-0.3464111,0.5402358
1.25,0.5235988,-0.3492513,0.5499604
1.26,0.5235988,-0.3365958,0.5645475
1.27,0.5235988,-0.3153223,0.5645475
1.28,0.5235988,-0.3046694,0.5791347
1.29,0.5235988,-0.297185,0.5742724
1.3,0.5235988,-0.2700402,0.5742724
1.31,0.5235988,-0.2323757,0.5791347
1.32,0.5235988,-0.1964121,0.5791347
1.33,0.5235988,-0.1638595,0.583997
1.34,0.5235988,-0.1394357,0.583997
1.35,0.5235988,-0.1088483,0.5888593
