t,u,theta,phi
1.23,-6.82426e-05,-0.0001366126,0
1.24,-3.421067e-05,-0.0001252179,0
1.25,-9.791159e-05,-0.0001784645,0
1.26,-3.881793e-05,-0.0001683944,0
1.27,-9.313709e-05,-0.0001637936,0
1.28,-3.427787e-05,-0.0001577604,0
1.29,-0.0001569368,-0.0002661044,0
1.3,-0.0001022238,-0.000343233,0
1.31,-0.0001887146,-0.0003704863,0
1.32,-0.0001074848,-0.0003701701,0
1.33,-0.0001211142,-0.0002576083,0
1.34,-4.799232e-05,-0.0001959748,0
1.35,-8.466702e-05,-0.000155774,0
1.36,-7.139091e-05,-0.0002081719,0
1.37,-0.0001033169,-0.000221789,0
1.38,-7.468768e-05,-0.0002227446,0
1.39,-0.0001457341,-0.0002931215,0
1.4,-5.396686e-05,-0.0002351278,0
1.41,-0.0001494964,-0.0002607295,0
1.42,-0.0001336928,-0.0003850722,0
1.43,-0.0001830179,-0.0003994939,0
1.44,-8.968414e-05,-0.0003213388,0
1.45,-0.0001663302,-0.0003195775,0
1.46,-0.0001165467,-0.0003649357,0
1.47,-0.0001633115,-0.0003447852,0
1.48,-0.0001023137,-0.0003277803,0
1.49,-0.0001498318,-0.0003109824,0
1.5,-7.118755e-05,-0.0002647047,0
1.51,-0.0001195944,-0.000229735,0
1.52,-9.124431e-05,-0.0002748195,0
1.53,-0.0001283623,-0.0002744045,0
1.54,-7.935339e-05,-0.0002547247,0
1.55,-0.0001499786,-0.0002973118,0
1.56,-0.0001183217,-0.0003480632,0
1.57,-0.0001779505,-0.0003777658,0
1.58,-0.0001717338,-0.0004568852,0
1.59,-0.000235355,-0.0005261863,0
1.6,-0.0001899379,-0.000533426,0
1.61,-0.0002722117,-0.0005924405,0
1.62,-0.0001867,-0.0005673727,0
1.63,-0.0002510576,-0.0005404718,0
1.64,-0.0001614115,-0.0005072911,0
1.65,-0.0002593257,-0.0005321315,0
1.66,-0.0001508735,-0.0005062881,0
1.67,-0.0002333051,-0.0004715349,0
1.68,-0.000156593,-0.0004926519,0
1.69,-0.0002693506,-0.0005456887,0
1.7,-8.515135e-05,-0.0004089403,0
1.71,-0.0002339683,-0.0003955527,0
1.72,-7.737199e-05,-0.0003870497,0
1.73,-0.0002346819,-0.0003910733,0
1.74,-4.778214e-05,-0.0003404157,0
1.75,-0.0002704015,-0.0004168342,0
1.76,-0.000128262,-0.0005254944,0
1.77,-0.0003147293,-0.0005631541,0
1.78,-0.000167201,-0.0006154992,0
1.79,-0.0003489091,-0.0006550171,0
1.8,-0.0001771726,-0.0006584638,0
1.81,-0.0003695812,-0.0006917684,0
1.82,-0.0002252704,-0.0007608299,0
1.83,-0.0003462153,-0.0006988661,0
1.84,-0.0002170453,-0.0007058122,0
1.85,-0.0003160478,-0.0006532178,0
1.86,-0.0002176946,-0.0006718314,0
1.87,-0.0003050505,-0.000647298,0
1.88,-0.0001940663,-0.0006160953,0
1.89,-0.0002817925,-0.0005877328,0
1.9,-9.962019e-05,-0.0004397768,0
1.91,-0.0002286648,-0.0004005494,0
1.92,-0.0001261702,-0.0004578753,0
1.93,-0.0002779492,-0.0005209073,0
1.94,-9.376017e-05,-0.0004458799,0
1.95,-0.0002443365,-0.0004148678,0
1.96,-7.823463e-05,-0.0003993292,0
1.97,-0.0002387643,-0.0003952218,0
1.98,-7.987905e-05,-0.0003993316,0
1.99,-0.0002613423,-0.0004355917,0
2,-8.732161e-05,-0.0004359093,0
2.01,-0.0002722364,-0.0004539602,0
2.02,-0.0001291976,-0.0005177366,0
2.03,-0.0002459912,-0.0004527358,0
2.04,-0.0001138805,-0.0004488741,0
2.05,-0.000274261,-0.0004972777,0
2.06,-0.0001636912,-0.000564161,0
2.07,-0.0002659305,-0.0005279825,0
2.08,-0.0001415778,-0.0005031864,0
2.09,-0.000311885,-0.0005880426,0
2.1,-0.0001235712,-0.0005297462,0
2.11,-0.0003122477,-0.0005497827,0
2.12,-0.000156345,-0.000597727,0
2.13,-0.0002533787,-0.0004836306,0
2.14,-0.0001395908,-0.000493739,0
2.15,-0.0002181325,-0.0004316259,0
2.16,-9.872598e-05,-0.0003842221,0
2.17,-0.000248083,-0.000449941,0
2.18,-0.000135459,-0.0004892563,0
2.19,-0.0002445061,-0.0004701896,0
2.2,-0.0001602246,-0.0005178213,0
2.21,-0.0002701489,-0.000544682,0
2.22,-0.0001395753,-0.000501313,0
2.23,-0.0002632033,-0.0005041934,0
2.24,-0.0001408617,-0.0005053772,0
2.25,-0.000284288,-0.0005401238,0
2.26,-0.0001693648,-0.0005760466,0
2.27,-0.0002885147,-0.0005711168,0
2.28,-0.0001802973,-0.000590981,0
2.29,-0.0002406116,-0.0005045212,0
2.3,-0.0002111046,-0.0005846866,0
2.31,-0.0002730337,-0.0006120017,0
2.32,-0.0002194147,-0.0006167469,0
2.33,-0.0002300932,-0.0005435976,0
2.34,-0.0001503683,-0.0004529032,0
2.35,-0.0002358616,-0.0004927486,0
2.36,-0.0002139675,-0.0005854656,0
2.37,-0.0003066718,-0.000672577,0
2.38,-0.0002269097,-0.0006651101,0
2.39,-0.0003022419,-0.0006602159,0
2.4,-0.0002435266,-0.0006895422,0
2.41,-0.0002972992,-0.0006715289,0
2.42,-0.0002061407,-0.0006152235,0
2.43,-0.0002905214,-0.0006226957,0
2.44,-0.0002191033,-0.0006418092,0
2.45,-0.0002953121,-0.0006434225,0
2.46,-0.0001857359,-0.0005872725,0
2.47,-0.0002780311,-0.0005771875,0
2.48,-0.0001292343,-0.0004863799,0
2.49,-0.0002646733,-0.0004943861,0
2.5,-0.0001296038,-0.0004923331,0
2.51,-0.000288336,-0.0005324552,0
2.52,-0.0001389875,-0.0005347208,0
2.53,-0.0002839018,-0.0005265754,0
2.54,-0.0001549889,-0.0005559595,0
