t,theta,theta_sim,theta_p,theta_p_sim,phi,phi_sim,phi_p,r_phi
0,0,0,0,0,0,0,0,0
0.01,-0.0001216259,0,-0.0007847399,0,0.003157139,0,0,0
0.02,-9.970697e-05,0.000740378,-0.0005182773,0.009663277,-0.00170517,0.0001584884,-0.004884725,0
0.03,-7.028553e-05,7.877918e-05,-0.0005182773,0.001084464,-0.00170517,2.147901e-05,-0.0009410705,0
0.04,-0.0001102938,-0.0003815956,0.001613427,-0.003045307,0.003157139,-8.468841e-05,-0.0001903493,0
0.05,-9.966717e-05,0.000485148,1.465157e-05,0.007606156,0.003157139,7.727598e-05,-0.004991577,0
0.06,-9.453065e-05,0.001109178,-0.0005182773,0.01360731,-0.00170517,0.0001967004,-0.006913459,0
0.07,-9.248227e-05,0.0003533263,1.465157e-05,0.00448809,0.003157139,3.468055e-05,-0.003435177,0
0.08,-0.0001680853,0.001025484,-0.0005182773,0.01482492,-0.00170517,0.0001469566,-0.01018138,0
0.09,-0.0002042952,0.0002899343,1.465157e-05,0.004381017,0.003157139,-3.542667e-05,-0.004887729,0
0.1,-0.0002044727,0.0009541882,0.0002811141,0.01342511,0.003157139,7.527381e-05,-0.009934234,0
0.11,-0.0002475108,0.00143475,1.465157e-05,0.0175987,0.003157139,0.0001488853,-0.011162,0
0.12,-0.0001491374,0.001763066,-0.0005182773,0.0215585,-0.00170517,0.0001987893,-0.01374579,0
0.13,-0.0001373338,0.0008360527,1.465157e-05,0.01004651,-0.00170517,-2.688429e-05,-0.009316023,0
0.14,-0.0001258959,0.0001816699,1.465157e-05,0.00242555,-0.00170517,-0.000203233,-0.006468434,0
0.15,-0.0001092447,-0.0002864763,-0.0002518147,-0.005531028,-0.00170517,-0.0003265422,-0.0009103548,0
0.16,-0.0001448274,-0.0006395165,0.001080498,-0.01277999,-0.00170517,-0.0003827027,0.005452557,0
0.17,-0.0001331531,-0.0009380111,1.465157e-05,-0.01852981,-0.00170517,-0.0003757061,0.01106492,0
0.18,-4.933307e-05,-0.001181682,0.001613427,-0.02235525,-0.00170517,-0.0003206113,0.01519229,0
0.19,0.000105368,-0.001356401,1.465157e-05,-0.02425066,-0.00170517,-0.0002358435,0.01769618,0
0.2,0.0001311964,-0.00145008,-0.0002518147,-0.02443613,0.003157139,-0.0001386875,0.01871577,0
0.21,3.544112e-06,-0.000317438,-0.00185059,-0.008362648,-0.00170517,0.0002007037,0.01098922,0
0.22,-2.892068e-05,-0.0007533902,-0.001584124,-0.01186818,-0.00170517,0.000204438,0.01188195,0
