t,theta,theta_sim,theta_p,theta_p_sim,phi,phi_sim,phi_p,r_phi
0.59,-6.357776e-05,-0.0002628437,0.001013886,-0.00436766,0.001853943,0.001014341,-0.001505689,0
0.6,-1.845143e-05,-2.606196e-05,0.002079736,-0.0007019513,0.001853943,0.001037873,-0.00345218,0
0.61,8.77616e-05,0.0001721592,0.001013886,0.001907747,-0.003008366,0.001043913,-0.004748782,0
0.62,9.476545e-05,-0.00084426,-0.001384273,-0.01137291,0.001853943,0.0007950835,0.001969348,0
0.63,5.279867e-05,-0.0003656253,-0.0005848892,-0.005267048,0.001853943,0.000863593,-0.0004889651,0
0.64,9.016352e-05,-2.258312e-05,-0.0008513518,-0.0003192583,0.001853943,0.0009024458,-0.003139074,0
0.65,0.0001102958,0.0002496715,-0.0008513518,0.002957081,-0.003008366,0.0009179538,-0.004738305,0
0.66,0.0001378379,-0.0007445356,-0.0008513518,-0.01012919,0.001853943,0.0006759202,0.001852081,0
0.67,0.0001103854,-0.0002444999,0.0002145022,-0.00394949,-0.003008366,0.0007501271,-0.0006231682,0
0.68,9.412249e-05,-0.001088154,0.001280349,-0.01417941,0.001853943,0.0005502579,0.004265439,0
0.69,3.522237e-05,-0.0004892229,0.001013886,-0.006148282,0.001853943,0.0006502963,0.0006989914,0
0.7,-4.572631e-05,-6.362857e-05,0.0002145022,2.603815e-05,0.001853943,0.000709838,-0.002655342,0
0.71,-8.91418e-05,0.000227766,-0.0003184266,0.003880652,-0.003008366,0.000739191,-0.004686197,0
0.72,-7.456874e-05,-0.000774192,-0.0003184266,-0.008950206,-0.003008366,0.0005068045,0.001652048,0
0.73,-6.01783e-05,-0.00148864,-0.001117811,-0.01778806,0.001853943,0.0003438661,0.006521631,0
0.74,-0.0001504426,-0.0007846941,-0.001917202,-0.007700532,0.001853943,0.0004721688,0.001728709,0
0.75,-6.411682e-05,-0.0002894271,-0.0005848892,-0.0001608497,0.001853943,0.0005481925,-0.00243789,0
0.76,-1.029567e-05,0.000113666,0.0004809648,0.004918312,-0.003008366,0.0005863241,-0.005012609,0
0.77,0.0001053706,-0.0007725384,0.002079736,-0.006949939,0.001853943,0.0003576838,0.0009602634,0
0.78,4.626631e-05,-0.0001638598,0.001813278,9.804592e-05,0.001853943,0.0004397103,-0.001864792,0
0.79,3.422206e-05,0.0002632603,0.002346199,0.005452463,0.001853943,0.0004887891,-0.004656885,0
0.8,5.516459e-05,0.0005740881,0.001546815,0.008691983,0.001853943,0.0005134738,-0.006212365,0
0.81,0.0001304357,0.000807172,-0.001117811,0.0105742,0.001853943,0.000525131,-0.007001098,0
0.82,6.079177e-05,0.0009989924,-0.0008513518,0.01161356,-0.003008366,0.0005308136,-0.007289983,0
0.83,0.0001169725,-9.722234e-05,-0.001384273,-0.003364226,0.001853943,0.0002908756,0.0002681995,0
0.84,0.0001044012,0.0003277775,-0.001650736,0.001408907,0.001853943,0.0003754746,-0.001484934,0
0.85,6.308005e-05,0.0006295733,-0.002983049,0.005327328,0.001853943,0.0004355461,-0.003621345,0
0.86,5.179772e-05,0.0008328842,-0.0008513518,0.007605745,0.001853943,0.0004755384,-0.004830308,0
0.87,0.0001315844,0.0009722434,0.0002145022,0.008846426,0.001853943,0.0005041041,-0.005459704,0
0.88,0.0001280089,0.001094603,0.001813278,0.009545689,0.001853943,0.0005265973,-0.005724539,0
0.89,0.0001570737,0.00117374,0.001013886,0.009731717,0.001853943,0.00054631,-0.005762063,0
0.9,0.0001520978,0.00123174,0.003412049,0.009611759,0.001853943,0.0005653765,-0.005631087,0
0.91,0.0001397599,0.001261642,0.001813278,0.009244975,0.001853943,0.0005851119,-0.005410401,0
0.92,9.621806e-05,0.001268218,0.0002145022,0.008714097,0.001853943,0.0006061765,-0.005138239,0
0.93,0.0001316768,0.001247028,0.0007474236,0.008051658,-0.003008366,0.0006288,-0.004854519,0
0.94,0.0001318874,2.853957e-05,-0.001117811,-0.00771953,0.001853943,0.0004087767,0.002936488,0
0.95,3.816914e-05,0.0003429127,-0.001650736,-0.00337153,0.001853943,0.0005130713,0.00115044,0
0.96,3.0573e-05,0.0005360978,-0.001384273,0.00029925,0.001853943,0.0005907471,-0.001135553,0
0.97,5.589767e-05,0.000673903,-0.002183665,0.002670207,-0.003008366,0.0006453576,-0.002581545,0
0.98,0.0001062456,-0.0004239664,0.0004809648,-0.01094699,0.001853943,0.0004408435,0.004002498,0
0.99,0.0001413952,2.503686e-06,0.0007474236,-0.004998789,-0.003008366,0.0005497048,0.001404402,0
1,0.0002158929,-0.0008779004,0.0007474236,-0.01520265,-0.003008366,0.0003808979,0.006106045,0
1.01,0.000314821,-0.001483618,0.001813278,-0.022143,-0.003008366,0.000264104,0.009853172,0
1.02,0.0004104042,-0.001878148,0.001813278,-0.02584586,0.001853943,0.0001824012,0.01182175,0
1.03,0.0003990422,-0.0009101646,0.0002145022,-0.01223728,0.001853943,0.0003635148,0.005161879,0
1.04,0.0003615358,-0.0001960511,-0.0008513518,-0.002345935,0.001853943,0.000474288,-0.0001560019,0
1.05,0.0002577637,0.0003199436,-0.001117811,0.003884421,0.001853943,0.0005363225,-0.003360685,0
1.06,0.0002004983,0.0006620182,-0.0008513518,0.007486568,0.001853943,0.0005699229,-0.005165515,0
1.07,0.0002118555,0.0008893091,-0.0005848892,0.009386888,-0.003008366,0.0005882907,-0.006047619,0
1.08,0.0001773801,-0.0001512695,-0.001117811,-0.004898523,0.001853943,0.0003555841,0.001153534,0
1.09,0.000219242,0.0002834495,-0.0008513518,0.0001855763,0.001853943,0.0004439875,-0.0008466416,0
1.1,0.0001545798,0.0006120789,-5.196035e-05,0.004380903,0.001853943,0.0005057573,-0.003116722,0
1.11,0.0001402593,0.0008270314,-5.196035e-05,0.006801262,-0.003008366,0.0005462093,-0.00442092,0
1.12,0.0001582972,-0.0002308554,0.0007474236,-0.007080288,-0.003008366,0.0003304338,0.002428787,0
1.13,0.0002244186,-0.0009944482,-5.196035e-05,-0.01673623,0.001853943,0.00018746,0.00765608,0
1.14,0.0001431837,-0.0003172667,0.0007474236,-0.007219778,0.001853943,0.0003376112,0.003118283,0
1.15,0.0001236965,0.000153004,0.0002145022,-0.0001506042,0.001853943,0.0004363629,-0.0008700379,0
1.16,0.0001638653,0.0004932628,0.0004809648,0.004332361,0.001853943,0.0004974846,-0.003304264,0
1.17,0.0001766255,0.0007548811,-0.001384273,0.007161841,0.001853943,0.0005358314,-0.004743762,0
1.18,0.0001294597,0.0009460896,-5.196035e-05,0.00878988,-0.003008366,0.0005609937,-0.00551623,0
1.19,0.0001316944,-0.0001421243,0.0007474236,-0.005709068,0.001853943,0.0003352427,0.001691116,0
1.2,0.0001611478,0.0002705542,-0.0005848892,-0.0006520851,0.001853943,0.0004300618,-0.0003402664,0
1.21,8.48885e-05,0.000578914,-0.0005848892,0.003570872,0.001853943,0.0004973207,-0.002687186,0
1.22,4.274652e-05,0.0007756453,0.0002145022,0.006042083,0.001853943,0.0005421262,-0.004076708,0
