t,theta,theta_sim,theta_p,theta_p_sim,phi,phi_sim,phi_p,r_phi
0,0,0,0,0,0,0,0,0
0.01,1.19083e-05,0,-0.0003024638,0,-0.0001997948,0,0,0
0.02,3.054715e-05,-4.540077e-05,0.002095699,-0.0006046247,-0.0001997948,-1.00297e-05,0.0003091225,0
0.03,3.605722e-05,-7.185638e-05,-3.599748e-05,-0.0009865663,-0.0001997948,-1.6806e-05,0.0005356336,0
0.04,4.948054e-05,-8.971362e-05,-3.599748e-05,-0.0013442,0.004662514,-2.053323e-05,0.0008351229,0
0.05,0.0001088658,0.001105518,-0.001101848,0.01356964,-0.0001997948,0.0002229799,-0.006401427,0
0.06,0.0001042758,0.0007827409,-0.0008353889,0.008564056,-0.0001997948,0.0001457965,-0.004169122,0
0.07,7.811743e-05,0.0005563761,-0.0005689263,0.007709651,0.004662514,7.458329e-05,-0.005935489,0
0.08,7.667401e-05,0.001605124,0.0002304651,0.02108546,-0.0001997948,0.0002439643,-0.01330267,0
0.09,5.976793e-05,0.001161991,-0.00136831,0.01371283,-0.0001997948,0.0001034307,-0.009717826,0
0.1,6.729451e-05,0.0008417602,-0.0005689263,0.01036657,-0.0001997948,-1.059781e-05,-0.009506481,0
0.11,0.000185045,0.0006211387,-0.0008353889,0.006382652,-0.0001997948,-0.000105525,-0.007322841,0
0.12,0.0002432933,0.0004960289,-0.001634773,0.002374732,0.004662514,-0.0001671199,-0.004013557,0
0.13,0.0002420618,0.001613686,0.0007633865,0.01400742,-0.0001997948,5.258116e-05,-0.008145812,0
0.14,0.0002434504,0.001194348,0.001029849,0.006271,-0.0001997948,-1.852867e-05,-0.00331251,0
0.15,0.0002800957,0.0008811956,0.0004969276,0.003489922,-0.0001997948,-6.161043e-05,-0.003178975,0
0.16,0.0003995614,0.0006668041,-3.599748e-05,0.0005393054,0.004662514,-9.419322e-05,-0.001775895,0
0.17,0.0004186315,0.001747809,-0.0008353889,0.01285483,-0.0001997948,0.0001376663,-0.007058403,0
0.18,0.0003934142,0.001312905,0.0004969276,0.005391456,-0.0001997948,6.967632e-05,-0.002762704,0
0.19,0.0004009617,0.0009809817,0.001296312,0.002592364,-0.0001997948,2.590905e-05,-0.002828948,0
0.2,0.0003791274,0.0007435499,-3.599748e-05,-0.0005241974,-0.0001997948,-8.397148e-06,-0.001448809,0
0.21,0.0004252584,0.0005542216,0.0002304651,-0.00382298,-0.0001997948,-2.194053e-05,0.0008714681,0
0.22,0.0003673884,0.0004164501,0.0004969276,-0.006651257,-0.0001997948,-1.092495e-05,0.003287569,0
0.23,0.0003817672,0.0002772622,-0.0005689263,-0.008951395,-0.0001997948,2.164939e-05,0.005316698,0
0.24,0.0003821666,0.0001631726,-0.0003024638,-0.01045757,-0.0001997948,6.943617e-05,0.006728291,0
0.25,0.0003576344,6.48404e-05,0.001296312,-0.01129899,0.004662514,0.0001254595,0.007542436,0
0.26,0.0003906338,0.001177512,0.0004969276,0.00357208,0.004662514,0.000427629,0.0002923356,0
0.27,0.0003801536,0.00198368,-0.0005689263,0.0140428,-0.0001997948,0.0006477262,-0.005375176,0
0.28,0.0004234645,0.001362111,0.0007633865,0.008799596,-0.0001997948,0.0005425625,-0.005714382,0
0.29,0.0003980598,0.0009538002,0.0004969276,0.006960963,-0.0001997948,0.0004291972,-0.008145169,0
0.3,0.0003973586,0.0006732962,0.001296312,0.003451994,-0.0001997948,0.0003158993,-0.007170632,0
0.31,0.0004586806,0.0004738005,0.001029849,-0.0008146488,-0.0001997948,0.0002294195,-0.004203415,0
0.32,0.0004242367,0.0003405389,0.0004969276,-0.004795346,-0.0001997948,0.0001806533,-0.0006805122,0
0.33,0.0004521777,0.0002149016,0.00182924,-0.008158352,-0.0001997948,0.0001684052,0.002525816,0
0.34,0.0004044746,0.0001150165,-3.599748e-05,-0.01053642,-0.0001997948,0.0001850912,0.00498059,0
0.35,0.0004097648,9.032854e-06,-0.0005689263,-0.01211539,-0.0001997948,0.0002211228,0.006614645,0
0.36,0.0003689931,-7.946968e-05,-0.0003024638,-0.01287303,-0.0001997948,0.0002673801,0.007473824,0
0.37,0.0003349168,-0.0001673936,-0.0005689263,-0.01308404,-0.0001997948,0.0003163669,0.007724647,0
0.38,0.000341971,-0.0002484061,0.0002304651,-0.01286414,-0.0001997948,0.0003625747,0.007510676,0
0.39,0.0002973737,-0.0003064233,0.0007633865,-0.01229257,-0.0001997948,0.0004023635,0.006995936,0
0.4,0.0002598702,-0.0003627355,-0.0003024638,-0.01159964,-0.0001997948,0.0004337582,0.006307641,0
0.41,0.0002471462,-0.0004125696,0.001296312,-0.01082487,-0.0001997948,0.0004559082,0.005522148,0
0.42,0.0002409798,-0.000446962,-0.0005689263,-0.009998104,-0.0001997948,0.0004688455,0.004728602,0
0.43,0.0002323918,-0.0004665053,-0.0008353889,-0.009168612,-0.0001997948,0.0004732978,0.003978625,0
0.44,0.0001914459,-0.0004751986,-3.599748e-05,-0.008370501,-0.0001997948,0.0004702776,0.003287499,0
0.45,0.0001940103,-0.0004865254,0.00182924,-0.007672475,-0.0001997948,0.0004608459,0.002661773,0
0.46,0.0001868241,-0.0004840456,-0.0008353889,-0.0069903,-0.0001997948,0.0004460689,0.002108307,0
0.47,0.0001608022,-0.0004748797,-0.0003024638,-0.006375589,-0.0001997948,0.0004270771,0.001644979,0
0.48,0.0001433245,-0.0004674333,0.0004969276,-0.005850269,-0.0001997948,0.0004049194,0.001252451,0
0.49,0.000107844,-0.0004582598,-0.0005689263,-0.00538341,-0.0001997948,0.0003804482,0.0009226295,0
0.5,0.0001216824,-0.0004542129,0.0002304651,-0.005005894,-0.0001997948,0.0003544416,0.0006581735,0
0.51,0.0001463883,-0.0004369807,-0.001101848,-0.004614539,-0.0001997948,0.0003275971,0.0004500188,0
0.52,0.0001700901,-0.0004070546,-0.0003024638,-0.00421755,-0.0001997948,0.0003005139,0.0002954005,0
0.53,0.000173984,-0.0003689518,0.0002304651,-0.003818859,-0.0001997948,0.000273576,0.0001624607,0
0.54,0.0002130901,-0.0003322916,-0.0003024638,-0.003454518,-0.0001997948,0.0002468951,3.260933e-05,0
0.55,0.000229916,-0.0002848297,-0.001634773,-0.003063948,-0.0001997948,0.0002204878,-9.401375e-05,0
0.56,0.0001993197,-0.0002378919,0.001029849,-0.0027229,-0.0001997948,0.0001944617,-0.0001999675,0
0.57,0.0002482305,-0.0002082235,-3.599748e-05,-0.002504267,-0.0001997948,0.000168976,-0.0002902116,0
0.58,0.0003086123,-0.000163795,0.001296312,-0.002249795,-0.0001997948,0.0001442255,-0.0003515501,0
0.59,0.0002307592,-0.0001057324,-0.001101848,-0.001999221,-0.0001997948,0.0001206093,-0.0003549375,0
0.6,0.000214396,-8.664732e-05,-0.0008353889,-0.001985176,-0.0001997948,9.847021e-05,-0.0003332185,0
0.61,0.0001956071,-7.439429e-05,-0.0003024638,-0.002003924,-0.0001997948,7.786878e-05,-0.0003064478,0
0.62,0.0001771274,-6.839421e-05,0.0004969276,-0.002096502,-0.0001997948,5.908597e-05,-0.0002134441,0
0.63,9.717654e-05,-6.747161e-05,0.0007633865,-0.002237464,-0.0001997948,4.259121e-05,-7.111346e-05,0
0.64,2.542739e-05,-9.199935e-05,-0.0003024638,-0.002500065,-0.0001997948,2.861701e-05,9.599735e-05,0
0.65,9.735548e-06,-0.0001320182,-0.0005689263,-0.002799217,-0.0001997948,1.714774e-05,0.0002655598,0
0.66,5.34345e-05,-0.0001638084,0.0004969276,-0.00302064,-0.0001997948,8.11362e-06,0.0004475052,0
0.67,8.772097e-05,-0.00016949,0.0004969276,-0.003078263,-0.0001997948,1.417261e-06,0.0006266836,0
0.68,3.26921e-05,-0.0001601182,-0.001101848,-0.003012758,-0.0001997948,-3.356457e-06,0.0007551647,0
0.69,3.002566e-05,-0.0001707702,-3.599748e-05,-0.002969778,-0.0001997948,-7.078987e-06,0.0007850247,0
0.7,9.177469e-05,-0.0001768994,-3.599748e-05,-0.002823083,0.004662514,-1.078194e-05,0.0007198405,0
0.71,6.061806e-05,0.001047774,-0.0003024638,0.01265715,-0.0001997948,0.0002290168,-0.006896763,0
0.72,6.003649e-05,0.000719331,-0.0005689263,0.00796812,-0.0001997948,0.0001447722,-0.00499729,0
0.73,8.928179e-05,0.0004953425,-0.0008353889,0.007422976,-0.0001997948,6.381603e-05,-0.007050024,0
0.74,2.566893e-05,0.0003648539,-0.0003024638,0.005929926,-0.0001997948,-2.235506e-05,-0.007069557,0
0.75,-3.690337e-06,0.0002572587,-0.0003024638,0.003579053,-0.0001997948,-9.586038e-05,-0.005593229,0
0.76,3.186356e-05,0.0001686951,0.001296312,0.001114768,-0.0001997948,-0.000147313,-0.003552249,0
0.77,3.696948e-05,0.0001108498,0.0007633865,-0.0009855932,-0.0001997948,-0.0001752589,-0.001504598,0
0.78,6.123591e-05,6.185671e-05,-0.0005689263,-0.002629635,-0.0001997948,-0.0001826606,0.0002332383,0
0.79,2.575756e-05,2.556095e-05,-0.0008353889,-0.003716423,-0.0001997948,-0.0001746648,0.001500784,0
0.8,3.396499e-05,-2.11704e-05,0.0002304651,-0.004402123,-0.0001997948,-0.0001569033,0.002294889,0
0.81,9.550133e-05,-5.819418e-05,0.0007633865,-0.004658342,-0.0001997948,-0.0001343982,0.002672078,0
0.82,9.058999e-05,-6.782195e-05,0.0007633865,-0.004526665,-0.0001997948,-0.0001109932,0.002749711,0
0.83,8.101721e-05,-7.917954e-05,-0.0005689263,-0.004246878,-0.0001997948,-8.932682e-05,0.002607625,0
0.84,6.587172e-05,-9.15804e-05,0.0004969276,-0.003862053,-0.0001997948,-7.123305e-05,0.002296972,0
0.85,8.619671e-06,-0.0001050714,-0.00136831,-0.003450332,-0.0001997948,-5.769624e-05,0.001912779,0
0.86,-1.950915e-05,-0.0001327268,-0.001901239,-0.003126527,0.004662514,-4.882382e-05,0.00152456,0
0.87,-9.322989e-05,0.001045377,-0.0008353889,0.01235338,-0.0001997948,0.0001999245,-0.006348562,0
0.88,-0.0001543823,0.0006693454,0.0002304651,0.007607647,-0.0001997948,0.0001220163,-0.004613495,0
0.89,-0.0001459528,0.0003909081,-0.0003024638,0.006918493,-0.0001997948,4.591727e-05,-0.006727544,0
0.9,-0.000167142,0.0002148884,-0.0008353889,0.005315382,-0.0001997948,-3.599576e-05,-0.006751145,0
0.91,-8.005569e-05,9.001745e-05,-0.0005689263,0.002999934,0.004662514,-0.0001054073,-0.005254944,0
0.92,-4.189818e-05,0.001234709,0.0004969276,0.01600082,-0.0001997948,9.116331e-05,-0.0107397,0
0.93,2.478202e-05,0.0008637622,0.001029849,0.009262563,-0.0001997948,-1.266435e-05,-0.006757561,0
0.94,-3.651457e-05,0.0006210275,-0.001101848,0.007234307,-0.0001997948,-9.317251e-05,-0.007109245,0
0.95,8.932078e-06,0.0004342732,-0.0003024638,0.004581753,-0.0001997948,-0.000164572,-0.00594513,0
0.96,2.574183e-05,0.000314571,0.0002304651,0.001767503,-0.0001997948,-0.00021494,-0.003789694,0
0.97,-3.350781e-05,0.0002252806,0.0007633865,-0.0008156328,-0.0001997948,-0.0002396083,-0.001415717,0
0.98,0.0001136914,0.0001279546,0.001029849,-0.00297905,-0.0001997948,-0.0002406584,0.0006471904,0
0.99,0.0001332551,9.606755e-05,-0.0008353889,-0.004236257,-0.0001997948,-0.0002237248,0.002181984,0
1,9.010491e-05,6.756552e-05,-0.0005689263,-0.004982224,-0.0001997948,-0.0001951604,0.003187458,0
1.01,3.454883e-05,2.209211e-05,-0.0003024638,-0.005329287,0.004662514,-0.0001610997,0.003635425,0
1.02,3.44121e-05,0.001168243,0.0002304651,0.009802332,-0.0001997948,0.0001173715,-0.003856078,0
1.03,1.515698e-05,0.0007874692,0.0007633865,0.005107533,-0.0001997948,6.960658e-05,-0.002058489,0
1.04,4.960361e-06,0.0005144225,-3.599748e-05,0.004641986,-0.0001997948,2.155376e-05,-0.004294046,0
1.05,-5.895943e-05,0.0003315627,0.0002304651,0.003278263,-0.0001997948,-3.589075e-05,-0.004576894,0
1.06,-1.596332e-05,0.0001842941,0.0002304651,0.001156583,-0.0001997948,-8.522337e-05,-0.003408827,0
1.07,0.0001364994,9.133838e-05,-0.0008353889,-0.0009114917,-0.0001997948,-0.0001170416,-0.001682806,0
1.08,0.0002386718,7.022683e-05,-0.00136831,-0.002449651,-0.0001997948,-0.0001296815,4.548903e-05,0
1.09,0.0002430729,8.074676e-05,0.0004969276,-0.00346275,0.004662514,-0.0001260318,0.001433775,0
1.1,0.000258319,0.00128511,-3.599748e-05,0.01111207,-0.0001997948,0.0001327428,-0.005211287,0
1.11,0.0002249546,0.0009477197,-0.0008353889,0.005982473,-0.0001997948,7.371209e-05,-0.002798046,0
1.12,0.0001977558,0.0006972924,-0.0003024638,0.005149599,-0.005062103,2.016628e-05,-0.004620288,0
