t,theta,theta_sim,theta_p,theta_p_sim,phi,phi_sim,phi_p,r_phi
0,0,0,0,0,0,0,0,0
0.01,-0.0001081382,0,-0.01469674,0,0.002506018,0,0,0
0.02,-0.0001055497,0.0005354863,-0.01736137,0.03312661,0.002506018,0.001242734,-0.005285191,0
0.03,-0.0001872958,0.0006772277,-0.02375646,0.04219922,0.002506018,0.001809111,-0.009273821,0
0.04,-0.0005099755,0.0006430436,-0.02215768,0.04977086,0.002506018,0.001992965,-0.02383823,0
0.05,-0.0005753666,0.0004060924,-0.01949306,0.04967367,0.002506018,0.001946543,-0.03668403,0
0.06,-0.0005903579,0.000289684,-0.02215768,0.04762639,0.002506018,0.00182729,-0.04333014,0
0.07,-0.0008396304,0.0002335838,-0.02269061,0.04310441,0.002506018,0.001736664,-0.04332556,0
0.08,0.0002888377,-1.295595e-05,-0.0320168,0.03434756,0.002506018,0.001709415,-0.03999968,0
0.09,0.0002463795,0.0007440216,-0.003238849,0.0446682,-0.002356291,0.001733246,-0.03592603,0
0.1,0.0004681929,-0.000242872,-0.0043047,-0.0245049,0.002506018,-0.0006231645,-0.02117477,0
0.11,0.0006661077,0.0008393068,0.002356865,0.02660201,0.002506018,0.0007313987,-0.02489807,0
0.12,0.001014104,0.001305751,0.01008428,0.02888984,0.002506018,0.001484694,-0.005130663,0
0.13,0.001001376,0.001624137,0.0127489,0.04000251,0.002506018,0.001926386,-0.009796819,0
0.14,0.0007326188,0.001718365,0.01434768,0.04708207,-0.002356291,0.002057542,-0.02206564,0
0.15,0.0004932659,0.0003562452,0.01967692,-0.02059941,0.002506018,-0.0004067827,-0.02307322,0
0.16,0.0006235456,0.0009904846,0.0212757,0.02334417,0.002506018,0.0007943169,-0.03151846,0
0.17,0.0008867538,0.001248346,0.02473971,0.02064309,0.002506018,0.00145868,-0.009962984,0
0.18,0.001217875,0.001412686,0.0234074,0.02684341,0.002506018,0.001892996,-0.009299188,0
0.19,0.001431109,0.001701929,0.02447325,0.03664392,-0.002356291,0.002070851,-0.01683255,0
0.2,0.001521743,0.0007849891,0.02314093,-0.02349645,-0.002356291,-0.0003327742,-0.01497851,0
0.21,0.001587433,0.0006429541,0.02234155,-0.03900522,-0.002356291,-0.001502678,-0.01382403,0
0.22,0.001667667,0.0006851819,0.02180862,-0.05707007,0.01223087,-0.001940586,0.01164061,0
0.23,0.001571201,0.004296417,0.02314093,0.132734,0.01709318,0.005330352,0.005897772,0
0.24,0.001697142,0.006340976,0.02500618,0.2483781,-0.007218838,0.01125726,-0.01217046,0
0.25,0.001996975,0.0008871732,0.01967692,-0.01427269,0.002506018,0.001567774,-0.05035837,0
0.26,0.002095057,0.002225202,0.0127489,0.08384065,0.002506018,0.001077014,-0.1385037,0
0.27,0.002273769,0.00304891,0.01221597,0.04940578,0.002506018,0.0007210661,-0.07952543,0
0.28,0.002705733,0.003174787,0.002090398,0.02464702,0.002506018,0.001042893,-0.03853282,0
0.29,0.002626541,0.003301087,-0.01256504,0.01651442,0.002506018,0.00150859,-0.01741424,0
0.3,0.002031125,0.003126629,0.0007580891,0.01041799,0.002506018,0.001882039,-0.00926723,0
0.31,0.002658523,0.002503901,0.003422711,0.0006366391,-0.002356291,0.002105711,-0.009167532,0
0.32,0.002986837,0.001523178,-0.0213583,-0.05973502,-0.002356291,-0.0002036181,-0.000603131,0
0.33,0.002244294,0.001526823,-0.02029245,-0.07311477,0.002506018,-0.001255009,0.008168257,0
0.34,0.002202449,0.002179519,-0.004571162,-0.03250434,0.002506018,0.0008262827,0.02587031,0
0.35,0.002456915,0.002199856,-0.01416381,-0.02539737,-0.002356291,0.002016797,0.04110026,0
0.36,0.001970557,0.001112549,-0.01816075,-0.07281045,0.002506018,0.0001916671,0.03725386,0
0.37,0.001588611,0.001709077,-0.01149919,-0.0143039,-0.002356291,0.001617726,0.01418639,0
0.38,0.00322498,0.0004550075,0.07057126,-0.07657617,0.002506018,-0.000180679,0.02835148,0
0.39,0.007085876,0.002581106,-0.02029245,0.006681819,0.002506018,0.001388695,0.01365085,0
0.4,0.003625446,0.006432587,-0.07971358,0.07464927,-0.002356291,0.002134613,0.02183094,0
0.41,0.002710129,0.003906189,-0.002439462,-0.01565564,0.002506018,2.796575e-05,0.01252707,0
0.42,0.003618364,0.003555549,-0.02082537,0.0280786,0.002506018,0.001199535,-0.02765462,0
0.43,0.001876282,0.004150584,-0.04027713,0.03524204,0.002506018,0.001630356,-0.01886819,0
0.44,0.002873043,0.00289088,-0.01096626,0.009298553,0.002506018,0.001898258,-0.01630629,0
0.45,0.003670617,0.003124075,-0.05146856,0.01784151,0.002506018,0.002021529,-0.02033327,0
0.46,0.001598285,0.003826353,-0.05439964,0.02637296,0.002506018,0.00208165,-0.01676626,0
0.47,0.001334924,0.002414764,-0.007235788,-0.002788166,0.002506018,0.002133148,-0.01585661,0
0.48,0.002619954,0.001628271,-0.03175033,-0.01235493,0.002506018,0.002147255,-0.01884561,0
0.49,0.001531913,0.002343756,-0.04880393,-0.0001806859,0.002506018,0.002172332,-0.01264319,0
0.5,0.0006887024,0.001740028,-0.01816075,-0.01514739,0.002506018,0.002254618,-0.004963398,0
0.51,0.001015336,0.0008151041,-0.01389735,-0.02716068,0.002506018,0.002328363,-0.005658997,0
0.52,0.0008074119,0.0007378352,-0.02375646,-0.02333752,0.002506018,0.002366397,-0.00470023,0
0.53,0.0005285259,0.0005749774,-0.01736137,-0.02396863,-0.002356291,0.002408887,-0.001041269,0
0.54,0.0002868442,-0.0008861467,-0.01656198,-0.0910752,0.002506018,3.765337e-05,0.009499123,0
0.55,-0.0002843935,-0.0002603388,-0.009101018,-0.04042285,0.002506018,0.0013628,0.005409096,0
0.56,-5.40875e-05,-0.0004934503,0.002356865,-0.04226377,0.002506018,0.002097651,0.02475886,0
0.57,0.0003057486,-0.0004470038,-0.002972387,-0.02607412,0.01709318,0.002523354,0.01915737,0
0.58,-0.0001952667,0.003552398,-0.00537055,0.1964733,-0.002356291,0.009874281,-0.02418873,0
0.59,-0.0007426707,-0.0003931844,0.01408121,-0.01044165,-0.01694322,0.003451469,-0.02015378,0
0.6,-0.0004557802,-0.005476099,0.02287447,-0.2307368,-0.002356291,-0.00728972,-0.05835067,0
0.61,-0.0001422295,-0.002724638,0.0170123,-0.1169103,-0.007218838,-0.005240514,-0.03303866,0
0.62,-7.949669e-05,-0.002891413,0.01674584,-0.2118098,0.007368565,-0.00587137,0.1012451,0
0.63,0.0003426467,0.0003275163,0.01621291,-0.01886852,0.007368565,0.001917862,0.1129916,0
0.64,0.001500525,0.001480984,-0.01016688,0.05410776,0.002506018,0.005769585,0.1045453,0
0.65,0.002280952,0.001598707,-0.05706427,0.08003458,0.002506018,0.004736008,0.02299099,0
0.66,-4.277437e-05,0.002769369,-0.06932154,0.1310034,-0.007218838,0.003385986,-0.06291242,0
0.67,-0.003207327,-0.0006104358,0.02260801,-0.02568683,0.007368565,-0.002707038,-0.07930647,0
0.68,-0.001177807,-0.0004088054,0.07563405,0.07957377,0.002506018,0.00148394,-0.1025861,0
0.69,0.0003014221,-0.0002412026,0.006087337,0.02969744,0.002506018,0.001302851,-0.03958757,0
0.7,-0.001057452,0.0007447301,0.01567999,0.0460551,0.007368565,0.00155244,-0.03255703,0
0.71,-0.0001541858,0.001211827,0.04312562,0.09885081,0.002506018,0.004121153,-0.04269102,0
0.72,0.0004472877,0.0007556217,0.01381475,0.06316333,0.002506018,0.002846476,-0.04790847,0
0.73,-0.0002982887,0.001160819,0.02633848,0.07250519,0.002506018,0.002073473,-0.07077534,0
0.74,0.000786617,0.0008320404,0.03886222,0.05555411,0.002506018,0.001587257,-0.06992127,0
0.75,0.001213034,0.001538901,0.01248243,0.05886269,0.002506018,0.001392277,-0.06216247,0
0.76,0.0004887586,0.002083552,0.02260801,0.05686184,0.002506018,0.00139522,-0.05034165,0
0.77,0.001315834,0.001629003,0.0383293,0.04197685,0.002506018,0.001482122,-0.0448429,0
